agent, num_iperfs, flow_size, time, memory, iter
A,2,10,110.748575,3771.529296875,1
A,2,10,108.676574,3765.49609375,2
A,2,10,108.531102,3769.3896484375,3
A,2,10,108.495282,3770.2763671875,4
A,2,10,110.448485,3769.4482421875,0
A,2,50,358.337469,3790.1787109375,2
A,2,50,359.161067,3791.052734375,1
A,2,50,358.51534,3790.53125,0
A,2,50,358.988655,3791.04296875,4
A,2,50,358.862128,3790.822265625,3
A,2,100,395.620094,3800.8115234375,2
A,2,100,396.814381,3800.5810546875,1
A,2,100,393.669875,3798.5009765625,4
A,2,100,394.16746,3800.5302734375,0
A,2,100,395.255598,3799.8779296875,3
A,2,200,394.89106400000003,3788.419921875,3
A,2,200,352.924074,3790.2099609375,4
A,2,200,395.373304,3787.580078125,0
A,2,200,394.049793,3788.6767578125,1
A,2,200,396.421883,3788.326171875,2
A,2,500,1043.518438,3847.0439453125,2
A,2,500,965.380005,3831.8779296875,3
A,2,500,909.817522,3836.5322265625,4
A,2,500,968.452836,3835.29296875,0
A,4,10,286.077535,3778.458984375,3
A,4,10,285.892156,3772.6103515625,0
A,4,10,286.167472,3777.109375,4
A,4,10,285.450763,3776.7109375,1
A,4,10,285.678742,3776.3544921875,2
A,4,50,287.199325,3785.5029296875,2
A,4,50,287.435164,3783.38671875,1
A,4,50,290.627996,3786.0849609375,0
A,4,50,287.892177,3783.3701171875,4
A,4,50,287.21548,3785.443359375,3
A,4,100,713.64931,3811.560546875,3
A,4,100,667.314789,3813.298828125,0
A,4,100,687.55955,3813.2177734375,4
A,4,100,713.008286,3814.6787109375,1
A,4,100,676.363653,3810.0673828125,2
A,4,200,1020.906704,3841.4033203125,2
A,4,200,999.157138,3838.4345703125,1
A,4,200,1007.040485,3840.1875,4
A,4,200,1074.591826,3844.494140625,0
A,4,200,944.032334,3841.4453125,3
A,4,500,2220.008561,3934.6494140625,2
A,4,500,2084.990757,3942.0595703125,1
A,4,500,2062.237751,3948.01171875,4
A,4,500,2320.67592,3952.966796875,0
A,4,500,2023.823766,3958.2939453125,3
A,8,10,356.59292700000003,3789.8935546875,0
A,8,10,356.37298599999997,3789.447265625,4
A,8,10,356.395101,3788.8623046875,3
A,8,10,356.316649,3789.638671875,2
A,8,10,356.28666499999997,3789.185546875,1
A,8,50,578.843459,3803.04296875,2
A,8,50,575.114175,3796.8583984375,1
A,8,50,576.090193,3796.49609375,0
A,8,50,595.08311,3801.9541015625,4
A,8,50,580.252014,3802.9404296875,3
A,8,100,1084.149724,3850.623046875,2
A,8,100,1143.494279,3851.681640625,1
A,8,100,1062.981803,3850.94140625,4
A,8,100,1108.975843,3853.041015625,0
A,8,100,734.728602,3844.525390625,3
A,8,200,1782.78226,3910.12109375,2
A,8,200,1595.427273,3935.8916015625,1
A,8,200,2028.786611,3928.34375,0
A,8,200,1807.151041,3913.9404296875,4
A,8,200,1868.10272,3921.0888671875,3
A,8,500,4733.839859,4234.072265625,1
A,8,500,8605.979391,4263.3037109375,2
A,8,500,8197.194257,4256.046875,3
A,8,500,8282.314687,4257.6259765625,0
A,8,500,8696.312702,4260.6220703125,4
B,2,10,357.736888,3802.4404296875,1
B,2,10,355.366125,3802.421875,2
B,2,10,355.565878,3802.337890625,3
B,2,10,355.542491,3802.474609375,4
B,2,10,357.456314,3802.4404296875,0
B,2,50,5970.023226,4241.498046875,3
B,2,50,3890.990325,4243.0830078125,4
B,2,50,4594.934382,4238.4072265625,0
B,2,50,4270.113223,4251.986328125,1
B,2,50,3730.519427,4247.9365234375,2
B,2,100,1240.744388,3843.498046875,3
B,2,100,1199.471069,3839.728515625,0
B,2,100,1297.302545,3843.0478515625,4
B,2,100,1108.073282,3842.4375,1
B,2,100,1192.350555,3841.9970703125,2
B,2,200,1314.336126,3844.1025390625,1
B,2,200,1109.57972,3839.8876953125,2
B,2,200,1391.5853,3841.818359375,3
B,2,200,1379.0896,3844.3896484375,4
B,2,200,1370.76278,3844.484375,0
B,2,500,2127.15919,3882.3369140625,0
B,2,500,1370.182356,3894.5185546875,4
B,2,500,1511.990281,3893.32421875,3
B,2,500,1877.984849,3877.37890625,2
B,2,500,1692.882311,3876.05078125,1
B,4,10,709.522653,3807.1650390625,1
B,4,10,709.620773,3807.3701171875,2
B,4,10,710.085571,3806.1943359375,3
B,4,10,562.031936,3805.0478515625,4
B,4,10,729.32602,3807.2490234375,0
B,4,50,1207.096653,3842.724609375,2
B,4,50,1417.588782,3844.755859375,1
B,4,50,1016.149657,3836.7294921875,0
B,4,50,982.223547,3837.6357421875,4
B,4,50,1171.28888,3838.6767578125,3
B,4,100,1817.281751,3961.3056640625,3
B,4,100,2393.553343,3963.90625,4
B,4,100,2374.975764,3966.294921875,0
B,4,100,1961.064716,3960.3359375,1
B,4,100,2245.889827,3962.76171875,2
B,4,200,4662.301891,4179.9931640625,1
B,4,200,4237.993933,4177.146484375,2
B,4,200,4092.956819,4178.03125,3
B,4,200,4106.7681919999995,4177.5537109375,4
B,4,200,4245.195648,4178.01171875,0
B,4,500,4726.010303,4179.5634765625,0
B,4,500,3292.372552,4170.193359375,4
B,4,500,3598.593346,4170.41796875,3
B,4,500,4745.798959,4179.646484375,2
B,4,500,4623.479988,4179.23046875,1
B,8,10,356.327999,3787.25390625,3
B,8,10,357.236014,3787.185546875,0
B,8,10,355.884474,3788.3427734375,4
B,8,10,356.25248899999997,3787.1513671875,1
B,8,10,356.356162,3787.3564453125,2
B,8,50,1038.216488,3824.4931640625,2
B,8,50,1067.305801,3824.80859375,1
B,8,50,1069.512336,3824.6533203125,0
B,8,50,1037.846942,3822.8798828125,4
B,8,50,1068.118098,3825.8134765625,3
B,8,100,1473.575253,3858.509765625,4
B,8,100,1496.484618,3861.4033203125,0
B,8,100,1129.71048,3857.3876953125,3
B,8,100,1530.346874,3860.798828125,2
B,8,100,1641.228635,3862.529296875,1
B,8,200,2750.203986,3966.33203125,2
B,8,200,2933.161315,3968.30078125,1
B,8,200,2652.559576,3966.5849609375,4
B,8,200,2981.348981,3971.390625,0
B,8,200,3095.86542,3970.126953125,3
B,8,500,4638.876938,4180.548828125,3
B,8,500,3535.213886,4168.8134765625,4
B,8,500,4009.865562,4177.9716796875,0
B,8,500,4163.306758,4177.0595703125,1
B,8,500,5382.94974,4185.7880859375,2
C,2,10,708.048767,3815.306640625,2
C,2,10,651.925092,3812.0390625,1
C,2,10,603.18805,3799.02734375,0
C,2,10,701.095638,3815.4150390625,4
C,2,10,673.205533,3818.6435546875,3
C,2,50,673.473473,3815.6142578125,0
C,2,50,596.349484,3800.27734375,4
C,2,50,624.348449,3800.671875,3
C,2,50,701.870059,3817.6416015625,2
C,2,50,659.324428,3800.947265625,1
C,2,100,928.121041,3827.8544921875,2
C,2,100,1026.69204,3830.81640625,1
C,2,100,822.791016,3827.2998046875,4
C,2,100,893.220601,3832.501953125,0
C,2,100,984.279321,3827.376953125,3
C,2,200,1212.270825,3850.3037109375,2
C,2,200,1113.122305,3853.373046875,1
