agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
A,2,46110,10,10.0,0.0,16.8,5.0,3
A,2,46110,10,10.1,0.0,11.72,7.21,2
A,2,46110,10,10.1,21.0,32.97,2.56,0
A,2,46110,10,10.0,1.0,23.33,3.6,1
A,2,46110,10,10.1,1.0,17.45,4.84,4
A,2,46112,10,10.1,0.0,31.92,2.65,0
A,2,46112,10,10.0,1.0,33.57,2.51,1
A,2,46112,10,10.1,1.0,17.24,4.9,3
A,2,46112,10,10.1,0.0,12.43,6.8,2
A,2,46112,10,10.0,1.0,27.9,3.01,4
A,2,46112,50,50.8,1898.0,91.0,4.68,3
A,2,46112,50,51.2,818.0,78.0,5.51,2
A,2,46112,50,50.5,2410.0,92.0,4.6,0
A,2,46112,50,50.6,1371.0,95.0,4.47,1
A,2,46112,50,50.1,1618.0,87.0,4.83,4
A,2,46110,50,50.3,318.0,86.0,4.9,0
A,2,46110,50,50.3,1131.0,77.0,5.48,1
A,2,46110,50,50.0,2208.0,81.0,5.18,3
A,2,46110,50,50.4,243.0,60.0,7.04,2
A,2,46110,50,50.5,977.0,81.0,5.23,4
A,2,46110,100,100.0,6177.0,173.0,4.85,3
A,2,46112,100,101.0,2195.0,178.0,4.76,0
A,2,46112,100,101.0,1767.0,185.0,4.59,1
A,2,46110,100,100.0,912.0,171.0,4.91,2
A,2,46110,100,101.0,1695.0,200.0,4.24,0
A,2,46112,100,101.0,5609.0,167.0,5.08,3
A,2,46112,100,101.0,1792.0,190.0,4.47,2
A,2,46110,100,100.0,2073.0,162.0,5.19,1
A,2,46110,100,100.0,1151.0,167.0,5.04,4
A,2,46112,100,100.0,1233.0,128.0,6.55,4
A,2,46110,200,201.0,8282.0,347.0,4.86,2
A,2,46112,200,200.0,12368.0,416.01,4.04,1
A,2,46112,200,201.0,9237.0,305.0,5.52,0
A,2,46110,200,200.0,1797.0,372.0,4.52,3
A,2,46110,200,201.0,12692.0,317.0,5.32,1
A,2,46112,200,201.0,4016.0,398.0,4.24,2
A,2,46112,200,201.0,2662.0,355.0,4.74,3
A,2,46110,200,201.0,7126.0,229.0,7.36,0
A,2,46110,200,201.0,2682.0,351.0,4.8,4
A,2,46112,200,200.0,3313.0,285.42,5.89,4
A,2,46110,500,500.0,25542.0,534.0,7.86,4
A,2,46112,500,501.0,10859.0,955.29,4.4,4
A,2,46110,500,500.0,13845.0,614.0,6.83,3
A,2,46112,500,500.0,6582.0,913.0,4.6,0
A,2,46112,500,501.0,4295.0,837.0,5.02,1
A,2,46110,500,501.0,5913.0,868.0,4.84,2
A,2,46110,500,500.0,6257.0,884.0,4.75,0
A,2,46112,500,501.0,34048.0,798.0,5.26,3
A,2,46112,500,500.0,6868.0,894.0,4.69,2
A,2,46110,500,501.0,6455.0,881.0,4.77,1
A,4,46112,10,10.1,109.0,34.0,2.49,4
A,4,46112,10,10.2,152.0,18.0,4.75,0
A,4,46112,10,10.1,182.0,28.0,3.02,1
A,4,46112,10,10.5,386.0,29.0,3.03,3
A,4,46112,10,10.3,16.0,23.0,3.74,2
A,4,46114,10,10.4,214.0,33.95,2.57,3
A,4,46114,10,10.3,2.0,25.0,3.46,2
A,4,46114,10,10.2,102.0,25.0,3.42,0
A,4,46114,10,10.1,134.0,31.01,2.73,1
A,4,46114,10,11.2,50.0,38.0,2.47,4
A,4,46116,10,10.9,72.0,26.68,3.42,0
A,4,46116,10,10.0,158.0,29.0,2.89,1
A,4,46116,10,11.1,169.0,35.0,2.65,3
A,4,46116,10,10.4,3.0,26.84,3.26,2
A,4,46116,10,10.9,48.0,37.0,2.47,4
A,4,46110,10,10.2,345.0,27.0,3.16,4
A,4,46110,10,10.4,129.0,20.0,4.34,3
A,4,46110,10,10.6,0.0,11.0,8.06,2
A,4,46110,10,10.9,0.0,13.0,7.04,0
A,4,46110,10,10.4,64.0,20.0,4.36,1
A,4,46110,50,50.1,925.0,150.0,2.8,4
A,4,46110,50,50.1,1555.0,138.0,3.05,0
A,4,46110,50,50.7,1569.0,106.0,4.02,1
A,4,46110,50,50.3,1559.0,167.0,2.53,3
A,4,46110,50,50.0,2108.0,144.0,2.92,2
A,4,46116,50,50.8,1852.0,195.0,2.19,3
A,4,46116,50,50.1,1338.0,178.0,2.36,2
A,4,46116,50,50.1,1680.0,246.0,1.71,0
A,4,46116,50,51.2,1154.0,171.96,2.5,1
A,4,46116,50,50.7,1054.0,177.0,2.4,4
A,4,46114,50,50.3,1902.0,250.0,1.69,0
A,4,46114,50,50.1,1256.0,166.0,2.53,1
A,4,46114,50,51.0,1936.0,190.0,2.25,3
A,4,46114,50,50.7,1236.0,197.0,2.16,2
A,4,46114,50,50.5,942.0,174.0,2.43,4
A,4,46112,50,50.1,985.0,131.0,3.21,4
A,4,46112,50,50.2,1728.0,170.0,2.48,3
A,4,46112,50,50.6,1516.0,203.0,2.09,2
A,4,46112,50,50.1,2328.0,218.0,1.93,0
A,4,46112,50,50.3,1292.0,141.0,3.0,1
A,4,46114,100,100.0,1777.0,369.0,2.28,1
A,4,46116,100,101.0,1046.0,337.0,2.51,2
A,4,46116,100,101.0,1766.0,372.01,2.28,3
A,4,46112,100,100.0,1479.0,342.0,2.46,4
A,4,46114,100,100.0,2943.0,335.0,2.51,0
A,4,46114,100,100.0,1168.0,323.0,2.6,2
A,4,46116,100,100.0,1912.0,365.0,2.3,1
A,4,46116,100,101.0,2744.0,372.0,2.27,0
A,4,46110,100,100.0,1359.0,285.0,2.95,4
A,4,46114,100,100.0,2026.0,311.0,2.7,3
A,4,46110,100,101.0,1487.0,387.0,2.18,0
A,4,46112,100,101.0,2212.0,361.0,2.34,3
A,4,46116,100,100.0,1391.0,320.0,2.63,4
A,4,46112,100,100.0,1467.0,241.0,3.49,2
A,4,46110,100,101.0,2227.0,392.0,2.17,1
