agent, num_iperfs, flow_size, time, memory, iter
B_LA,2,10M,17.891093,3817.5439453125,2
B_LA,2,10M,18.126503,3818.08984375,1
B_LA,2,10M,19.142769,3812.2353515625,0
B_LA,2,10M,18.490237,3818.9033203125,4
B_LA,2,10M,17.541312,3817.5458984375,3
B_LA,2,50M,110.129808,3899.1416015625,1
B_LA,2,50M,134.146791,3899.986328125,2
B_LA,2,50M,117.186139,3887.6689453125,3
B_LA,2,50M,139.143623,3884.666015625,4
B_LA,2,50M,96.250498,3909.89453125,0
B_LA,2,100M,262.304893,4055.1123046875,2
B_LA,2,100M,206.377296,4049.4755859375,1
B_LA,2,100M,488.306743,4053.94921875,4
B_LA,2,100M,409.046741,4043.3271484375,0
B_LA,2,100M,242.190741,4058.037109375,3
B_LA,2,200M,336.2876,4220.392578125,2
B_LA,2,200M,435.197187,4209.556640625,1
B_LA,2,200M,442.31917599999997,4213.5341796875,4
B_LA,2,200M,359.868355,4226.4248046875,0
B_LA,2,200M,374.426688,4209.0322265625,3
B_LA,2,500M,940.3934,4227.3408203125,1
B_LA,2,500M,1179.057005,4243.626953125,2
B_LA,2,500M,892.080717,4244.06640625,3
B_LA,2,500M,926.20128,4240.8759765625,0
B_LA,2,500M,786.863436,4241.4638671875,4
B_LA,4,10M,38.652702,3885.927734375,1
B_LA,4,10M,44.445346,3862.681640625,2
B_LA,4,10M,45.001042,3882.61328125,3
B_LA,4,10M,41.968136,3875.822265625,0
B_LA,4,10M,44.071217,3866.7646484375,4
B_LA,4,50M,483.329646,4186.6220703125,3
B_LA,4,50M,226.892961,4178.0849609375,0
B_LA,4,50M,502.54995,4170.9970703125,4
B_LA,4,50M,485.632096,4170.4755859375,1
B_LA,4,50M,404.744556,4167.6328125,2
B_LA,4,100M,748.448044,4220.78125,3
B_LA,4,100M,504.443224,4232.365234375,4
B_LA,4,100M,406.019108,4232.341796875,0
B_LA,4,100M,382.689141,4238.140625,1
B_LA,4,100M,754.012345,4236.6845703125,2
B_LA,4,200M,776.020579,4240.2998046875,4
B_LA,4,200M,940.963753,4257.46875,0
B_LA,4,200M,678.141541,4252.9453125,3
B_LA,4,200M,760.696402,4248.537109375,2
B_LA,4,200M,840.714963,4242.533203125,1
B_LA,4,500M,1370.166507,4284.4931640625,4
B_LA,4,500M,2627.732783,4285.09375,0
B_LA,4,500M,2116.806931,4277.9873046875,3
B_LA,4,500M,1889.444355,4291.466796875,2
B_LA,4,500M,1734.28289,4276.1826171875,1
B_LA,8,10M,50.205781,3871.44140625,3
B_LA,8,10M,47.218119,3873.9873046875,4
B_LA,8,10M,88.858472,3877.736328125,0
B_LA,8,10M,61.836903,3880.8974609375,1
B_LA,8,10M,51.660979,3897.49609375,2
B_LA,8,50M,1018.833478,4224.5224609375,1
B_LA,8,50M,1049.622174,4217.6259765625,2
B_LA,8,50M,879.856825,4208.296875,3
B_LA,8,50M,575.020325,4217.2978515625,4
B_LA,8,50M,788.018465,4204.6796875,0
B_LA,8,100M,975.40798,4297.81640625,1
B_LA,8,100M,1073.646457,4288.1484375,2
B_LA,8,100M,1432.455373,4294.693359375,3
B_LA,8,100M,1452.540638,4276.03515625,4
B_LA,8,100M,782.079236,4297.291015625,0
B_LA,8,200M,1621.161967,4307.8466796875,0
B_LA,8,200M,1532.663792,4288.37890625,4
B_LA,8,200M,1799.561363,4290.0517578125,3
B_LA,8,200M,2059.735635,4288.064453125,2
B_LA,8,200M,1583.548845,4295.5732421875,1
B_LA,8,500M,3528.727261,4321.849609375,2
B_LA,8,500M,1019.219818,4275.9091796875,4
B_LA,8,500M,3291.104972,4303.5859375,1
B_LA,8,500M,3808.946879,4324.166015625,0
B_LA,8,500M,3445.666702,4322.1748046875,3
B,2,10M,357.736888,3802.4404296875,1
B,2,10M,355.366125,3802.421875,2
B,2,10M,355.565878,3802.337890625,3
B,2,10M,355.542491,3802.474609375,4
B,2,10M,357.456314,3802.4404296875,0
B,2,50M,5970.023226,4241.498046875,3
B,2,50M,3890.990325,4243.0830078125,4
B,2,50M,4594.934382,4238.4072265625,0
B,2,50M,4270.113223,4251.986328125,1
B,2,50M,3730.519427,4247.9365234375,2
B,2,100M,1240.744388,3843.498046875,3
B,2,100M,1199.471069,3839.728515625,0
B,2,100M,1297.302545,3843.0478515625,4
B,2,100M,1108.073282,3842.4375,1
B,2,100M,1192.350555,3841.9970703125,2
