agent, num_iperfs, flow_size, time, memory, iter
A_LA,2,10M,25.94989,3874.83984375,4
A_LA,2,10M,26.293746,3874.94140625,0
A_LA,2,10M,27.805695,3860.5908203125,3
A_LA,2,10M,28.656777,3851.4580078125,2
A_LA,2,10M,29.824161,3875.7939453125,1
A_LA,2,50M,47.868788,3979.697265625,3
A_LA,2,50M,178.341039,3980.458984375,0
A_LA,2,50M,122.097265,3970.037109375,4
A_LA,2,50M,104.958478,3972.638671875,1
A_LA,2,50M,166.093121,3967.587890625,2
A_LA,2,100M,253.649728,4039.66015625,0
A_LA,2,100M,266.632134,4028.25390625,4
A_LA,2,100M,214.410363,4045.427734375,3
A_LA,2,100M,209.966809,4039.8681640625,2
A_LA,2,100M,233.45914,4026.30078125,1
A_LA,2,200M,252.425379,4160.9560546875,1
A_LA,2,200M,370.503801,4145.630859375,2
A_LA,2,200M,365.563875,4152.0537109375,3
A_LA,2,200M,256.066426,4158.068359375,4
A_LA,2,200M,348.887674,4143.451171875,0
A_LA,2,500M,658.6609100000001,4199.6982421875,0
A_LA,2,500M,419.800189,4213.4326171875,4
A_LA,2,500M,1138.103013,4238.6201171875,3
A_LA,2,500M,860.787166,4204.8427734375,2
A_LA,2,500M,471.802502,4204.8359375,1
A_LA,4,10M,45.196614,3926.9208984375,0
A_LA,4,10M,46.105034,3929.419921875,4
A_LA,4,10M,45.791068,3939.9755859375,3
A_LA,4,10M,47.927961,3932.2490234375,2
A_LA,4,10M,46.426437,3931.5263671875,1
A_LA,4,50M,193.45340099999999,4161.4404296875,2
A_LA,4,50M,308.426738,4160.4833984375,1
A_LA,4,50M,308.218974,4165.1494140625,0
A_LA,4,50M,277.112381,4183.6416015625,4
A_LA,4,50M,398.265209,4179.724609375,3
A_LA,4,100M,375.596568,4213.9580078125,1
A_LA,4,100M,436.862209,4204.361328125,2
A_LA,4,100M,515.130788,4196.9853515625,3
A_LA,4,100M,499.260007,4206.7646484375,4
A_LA,4,100M,374.032414,4195.033203125,0
A_LA,4,200M,822.447206,4225.697265625,2
A_LA,4,200M,670.35303,4222.68359375,1
A_LA,4,200M,721.190439,4221.740234375,4
A_LA,4,200M,671.219776,4229.7470703125,0
A_LA,4,200M,591.290915,4211.6015625,3
A_LA,4,500M,1689.487721,4297.037109375,3
A_LA,4,500M,1881.334999,4292.0,4
A_LA,4,500M,2000.457278,4281.8857421875,0
A_LA,4,500M,1958.71987,4282.7255859375,1
A_LA,4,500M,1739.50244,4292.57421875,2
A_LA,8,10M,92.14516900000001,3979.5625,4
A_LA,8,10M,65.922785,3985.458984375,3
A_LA,8,10M,89.254021,3973.5234375,2
A_LA,8,10M,56.450425,3975.9287109375,1
A_LA,8,50M,547.472398,4222.3076171875,2
A_LA,8,50M,672.81403,4218.3896484375,1
A_LA,8,50M,550.776174,4217.1455078125,4
A_LA,8,50M,478.025656,4208.533203125,0
A_LA,8,50M,380.495774,4220.462890625,3
A_LA,8,100M,905.15349,4276.7392578125,2
A_LA,8,100M,825.437532,4273.78125,1
A_LA,8,100M,882.823746,4291.1318359375,4
A_LA,8,100M,803.165542,4290.5087890625,0
A_LA,8,100M,942.15595,4271.291015625,3
A_LA,8,200M,1457.472365,4282.603515625,2
A_LA,8,200M,1401.232508,4286.412109375,1
A_LA,8,200M,1436.257872,4293.1865234375,4
A_LA,8,200M,1542.00891,4287.8369140625,0
A_LA,8,200M,1652.411208,4296.255859375,3
A_LA,8,500M,3966.068993,4311.2685546875,1
A_LA,8,500M,3418.807088,4318.8935546875,4
A_LA,8,500M,3209.833239,4307.12890625,2
A_LA,8,500M,3942.617835,4325.6201171875,3
A_LA,8,500M,3978.450205,4307.2099609375,0
A,2,10M,110.748575,3771.529296875,1
A,2,10M,108.676574,3765.49609375,2
A,2,10M,108.531102,3769.3896484375,3
A,2,10M,108.495282,3770.2763671875,4
A,2,10M,110.448485,3769.4482421875,0
A,2,50M,358.337469,3790.1787109375,2
A,2,50M,359.161067,3791.052734375,1
A,2,50M,358.51534,3790.53125,0
A,2,50M,358.988655,3791.04296875,4
A,2,50M,358.862128,3790.822265625,3
A,2,100M,395.620094,3800.8115234375,2
A,2,100M,396.814381,3800.5810546875,1
A,2,100M,393.669875,3798.5009765625,4
A,2,100M,394.16746,3800.5302734375,0
A,2,100M,395.255598,3799.8779296875,3
A,2,200M,394.89106400000003,3788.419921875,3
A,2,200M,352.924074,3790.2099609375,4
A,2,200M,395.373304,3787.580078125,0
A,2,200M,394.049793,3788.6767578125,1
A,2,200M,396.421883,3788.326171875,2
A,2,500M,1043.518438,3847.0439453125,2
A,2,500M,965.380005,3831.8779296875,3
A,2,500M,909.817522,3836.5322265625,4
A,2,500M,968.452836,3835.29296875,0
A,4,10M,286.077535,3778.458984375,3
A,4,10M,285.892156,3772.6103515625,0
A,4,10M,286.167472,3777.109375,4
A,4,10M,285.450763,3776.7109375,1
A,4,10M,285.678742,3776.3544921875,2
A,4,50M,287.199325,3785.5029296875,2
A,4,50M,287.435164,3783.38671875,1
A,4,50M,290.627996,3786.0849609375,0
A,4,50M,287.892177,3783.3701171875,4
A,4,50M,287.21548,3785.443359375,3
A,4,100M,713.64931,3811.560546875,3
A,4,100M,667.314789,3813.298828125,0
A,4,100M,687.55955,3813.2177734375,4
A,4,100M,713.008286,3814.6787109375,1
A,4,100M,676.363653,3810.0673828125,2
A,4,200M,1020.906704,3841.4033203125,2
A,4,200M,999.157138,3838.4345703125,1
A,4,200M,1007.040485,3840.1875,4
A,4,200M,1074.591826,3844.494140625,0
A,4,200M,944.032334,3841.4453125,3
A,4,500M,2220.008561,3934.6494140625,2
A,4,500M,2084.990757,3942.0595703125,1
A,4,500M,2062.237751,3948.01171875,4
A,4,500M,2320.67592,3952.966796875,0
A,4,500M,2023.823766,3958.2939453125,3
A,8,10M,356.59292700000003,3789.8935546875,0
A,8,10M,356.37298599999997,3789.447265625,4
A,8,10M,356.395101,3788.8623046875,3
A,8,10M,356.316649,3789.638671875,2
A,8,10M,356.28666499999997,3789.185546875,1
A,8,50M,578.843459,3803.04296875,2
A,8,50M,575.114175,3796.8583984375,1
A,8,50M,576.090193,3796.49609375,0
A,8,50M,595.08311,3801.9541015625,4
A,8,50M,580.252014,3802.9404296875,3
A,8,100M,1084.149724,3850.623046875,2
A,8,100M,1143.494279,3851.681640625,1
A,8,100M,1062.981803,3850.94140625,4
A,8,100M,1108.975843,3853.041015625,0
A,8,100M,734.728602,3844.525390625,3
A,8,200M,1782.78226,3910.12109375,2
A,8,200M,1595.427273,3935.8916015625,1
A,8,200M,2028.786611,3928.34375,0
A,8,200M,1807.151041,3913.9404296875,4
A,8,200M,1868.10272,3921.0888671875,3
A,8,500M,4733.839859,4234.072265625,1
A,8,500M,8605.979391,4263.3037109375,2
A,8,500M,8197.194257,4256.046875,3
A,8,500M,8282.314687,4257.6259765625,0
A,8,500M,8696.312702,4260.6220703125,4
B_LA,2,10M,17.891093,3817.5439453125,2
B_LA,2,10M,18.126503,3818.08984375,1
B_LA,2,10M,19.142769,3812.2353515625,0
B_LA,2,10M,18.490237,3818.9033203125,4
B_LA,2,10M,17.541312,3817.5458984375,3
B_LA,2,50M,110.129808,3899.1416015625,1
B_LA,2,50M,134.146791,3899.986328125,2
B_LA,2,50M,117.186139,3887.6689453125,3
B_LA,2,50M,139.143623,3884.666015625,4
B_LA,2,50M,96.250498,3909.89453125,0
B_LA,2,100M,262.304893,4055.1123046875,2
B_LA,2,100M,206.377296,4049.4755859375,1
B_LA,2,100M,488.306743,4053.94921875,4
B_LA,2,100M,409.046741,4043.3271484375,0
B_LA,2,100M,242.190741,4058.037109375,3
B_LA,2,200M,336.2876,4220.392578125,2
B_LA,2,200M,435.197187,4209.556640625,1
B_LA,2,200M,442.31917599999997,4213.5341796875,4
B_LA,2,200M,359.868355,4226.4248046875,0
B_LA,2,200M,374.426688,4209.0322265625,3
B_LA,2,500M,940.3934,4227.3408203125,1
B_LA,2,500M,1179.057005,4243.626953125,2
B_LA,2,500M,892.080717,4244.06640625,3
B_LA,2,500M,926.20128,4240.8759765625,0
B_LA,2,500M,786.863436,4241.4638671875,4
B_LA,4,10M,38.652702,3885.927734375,1
B_LA,4,10M,44.445346,3862.681640625,2
B_LA,4,10M,45.001042,3882.61328125,3
B_LA,4,10M,41.968136,3875.822265625,0
B_LA,4,10M,44.071217,3866.7646484375,4
B_LA,4,50M,483.329646,4186.6220703125,3
B_LA,4,50M,226.892961,4178.0849609375,0
B_LA,4,50M,502.54995,4170.9970703125,4
B_LA,4,50M,485.632096,4170.4755859375,1
B_LA,4,50M,404.744556,4167.6328125,2
B_LA,4,100M,748.448044,4220.78125,3
B_LA,4,100M,504.443224,4232.365234375,4
B_LA,4,100M,406.019108,4232.341796875,0
B_LA,4,100M,382.689141,4238.140625,1
B_LA,4,100M,754.012345,4236.6845703125,2
B_LA,4,200M,776.020579,4240.2998046875,4
B_LA,4,200M,940.963753,4257.46875,0
B_LA,4,200M,678.141541,4252.9453125,3
