agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
A_LA,2,46110,10M,10.2,0.0,13.0,6.58,2
A_LA,2,46110,10M,10.6,0.0,13.03,6.85,3
A_LA,2,46110,10M,10.9,0.0,14.0,6.54,1
A_LA,2,46110,10M,10.5,0.0,13.01,6.74,0
A_LA,2,46110,10M,10.5,0.0,13.0,6.75,4
A_LA,2,46112,10M,10.4,0.0,16.0,5.48,1
A_LA,2,46112,10M,10.1,0.0,15.05,5.63,0
A_LA,2,46112,10M,10.1,0.0,16.01,5.29,2
A_LA,2,46112,10M,10.9,0.0,16.0,5.72,3
A_LA,2,46112,10M,10.3,0.0,15.0,5.78,4
A_LA,2,46112,50M,50.2,850.0,87.0,4.84,2
A_LA,2,46112,50M,50.4,1961.0,79.24,5.34,3
A_LA,2,46112,50M,50.1,582.0,79.72,5.27,1
A_LA,2,46112,50M,50.5,1917.0,77.0,5.5,0
A_LA,2,46112,50M,50.5,1067.0,95.0,4.46,4
A_LA,2,46110,50M,50.9,470.0,61.0,6.99,1
A_LA,2,46110,50M,51.1,5784.0,135.56,3.17,0
A_LA,2,46110,50M,50.1,1243.0,79.0,5.32,2
A_LA,2,46110,50M,50.4,1610.0,74.96,5.64,3
A_LA,2,46110,50M,50.9,2228.0,81.0,5.27,4
A_LA,2,46112,100M,100.0,1406.0,166.0,5.06,3
A_LA,2,46110,100M,100.0,3737.0,95.0,8.86,0
A_LA,2,46110,100M,101.0,3299.0,188.0,4.5,1
A_LA,2,46112,100M,101.0,3632.0,170.0,4.98,2
A_LA,2,46112,100M,100.0,7270.0,226.0,3.72,0
A_LA,2,46110,100M,100.0,1255.0,131.0,6.41,3
A_LA,2,46110,100M,100.0,2424.0,153.42,5.48,2
A_LA,2,46112,100M,101.0,5634.0,207.0,4.07,1
A_LA,2,46112,100M,101.0,1012.0,167.0,5.06,4
A_LA,2,46110,100M,101.0,977.0,132.0,6.39,4
A_LA,2,46112,200M,200.0,6625.0,332.0,5.06,2
A_LA,2,46110,200M,200.0,6330.0,383.0,4.39,1
A_LA,2,46110,200M,200.0,16933.0,260.92,6.44,0
A_LA,2,46112,200M,201.0,11999.0,299.0,5.64,3
A_LA,2,46112,200M,200.0,13157.0,223.0,7.53,1
A_LA,2,46110,200M,200.0,7902.0,259.0,6.49,2
A_LA,2,46110,200M,201.0,6349.0,441.0,3.82,3
A_LA,2,46112,200M,201.0,11267.0,319.32,5.27,0
A_LA,2,46112,200M,200.0,9603.0,491.0,3.42,4
A_LA,2,46110,200M,201.0,4704.0,385.0,4.38,4
A_LA,2,46112,500M,500.0,22561.0,1033.69,4.06,4
A_LA,2,46110,500M,500.0,19482.0,731.0,5.74,4
A_LA,2,46112,500M,500.0,39251.0,1116.0,3.76,3
A_LA,2,46110,500M,500.0,35717.0,628.0,6.68,0
A_LA,2,46110,500M,500.0,32945.0,784.0,5.35,1
A_LA,2,46112,500M,501.0,44516.0,821.0,5.12,2
A_LA,2,46112,500M,501.0,30239.0,1838.0,2.29,0
A_LA,2,46110,500M,500.0,52912.0,1253.0,3.35,3
A_LA,2,46110,500M,501.0,40765.0,725.0,5.8,2
A_LA,2,46112,500M,501.0,31802.0,1059.0,3.97,1
A_LA,4,46112,10M,10.2,115.0,29.05,2.94,4
A_LA,4,46112,10M,10.0,134.0,27.03,3.1,1
A_LA,4,46112,10M,10.0,167.0,23.0,3.65,0
A_LA,4,46112,10M,10.5,78.0,21.0,4.19,2
A_LA,4,46112,10M,10.3,168.0,27.0,3.19,3
A_LA,4,46114,10M,10.1,97.0,29.0,2.91,2
A_LA,4,46114,10M,10.0,100.0,32.0,2.62,3
A_LA,4,46114,10M,10.1,69.0,32.01,2.65,1
A_LA,4,46114,10M,10.2,76.0,32.01,2.68,0
A_LA,4,46114,10M,11.1,44.0,33.0,2.82,4
A_LA,4,46116,10M,10.5,53.0,33.03,2.66,1
A_LA,4,46116,10M,10.0,90.0,34.93,2.41,0
A_LA,4,46116,10M,10.8,108.0,35.02,2.59,2
A_LA,4,46116,10M,10.3,76.0,33.01,2.62,3
A_LA,4,46116,10M,10.4,47.0,32.0,2.73,4
A_LA,4,46110,10M,10.4,0.0,14.01,6.26,4
A_LA,4,46110,10M,10.9,0.0,15.0,6.1,2
A_LA,4,46110,10M,10.7,0.0,15.0,5.99,3
A_LA,4,46110,10M,11.2,0.0,15.0,6.28,1
A_LA,4,46110,10M,11.1,68.0,26.33,3.54,0
A_LA,4,46110,50M,50.5,852.0,88.0,4.82,4
A_LA,4,46110,50M,50.2,1213.0,142.0,2.97,1
A_LA,4,46110,50M,50.1,1209.0,108.0,3.9,0
A_LA,4,46110,50M,50.1,920.0,94.0,4.47,2
A_LA,4,46110,50M,50.3,790.0,76.0,5.55,3
A_LA,4,46116,50M,50.7,487.0,150.01,2.83,2
A_LA,4,46116,50M,50.4,724.0,181.0,2.34,3
A_LA,4,46116,50M,50.6,1141.0,194.0,2.19,1
A_LA,4,46116,50M,50.3,856.0,192.0,2.2,0
A_LA,4,46116,50M,50.2,557.0,158.0,2.66,4
A_LA,4,46114,50M,50.7,1324.0,200.0,2.13,1
A_LA,4,46114,50M,50.1,1514.0,197.0,2.13,0
A_LA,4,46114,50M,50.4,776.0,156.0,2.71,2
A_LA,4,46114,50M,50.5,1395.0,135.0,3.14,3
A_LA,4,46114,50M,50.0,567.0,146.0,2.87,4
A_LA,4,46112,50M,50.7,570.0,164.0,2.59,4
A_LA,4,46112,50M,51.0,888.0,150.0,2.85,2
A_LA,4,46112,50M,50.1,797.0,173.0,2.43,3
A_LA,4,46112,50M,50.3,1621.0,185.0,2.28,1
A_LA,4,46112,50M,50.4,1321.0,148.0,2.86,0
A_LA,4,46116,100M,101.0,4401.0,301.0,2.81,1
A_LA,4,46114,100M,101.0,1419.0,307.0,2.75,2
A_LA,4,46110,100M,101.0,4898.0,215.0,3.93,4
A_LA,4,46114,100M,100.0,4493.0,459.0,1.83,3
A_LA,4,46116,100M,100.0,9996.0,284.0,2.97,0
A_LA,4,46116,100M,101.0,1270.0,338.0,2.51,2
A_LA,4,46114,100M,101.0,7132.0,224.0,3.78,1
A_LA,4,46114,100M,101.0,7604.0,203.0,4.16,0
A_LA,4,46116,100M,100.0,4809.0,327.0,2.58,3
A_LA,4,46112,100M,101.0,3384.0,412.0,2.06,4
A_LA,4,46112,100M,100.0,8091.0,434.0,1.94,0
A_LA,4,46114,100M,100.0,6008.0,274.73,3.06,4
A_LA,4,46110,100M,100.0,3765.0,367.0,2.29,3
A_LA,4,46110,100M,100.0,1276.0,241.0,3.49,2
A_LA,4,46112,100M,100.0,4013.0,271.0,3.1,1
A_LA,4,46112,100M,100.0,8106.0,434.0,1.93,3
A_LA,4,46116,100M,101.0,4611.0,445.0,1.91,4
A_LA,4,46110,100M,100.0,10811.0,204.0,4.13,0
A_LA,4,46110,100M,100.0,3114.0,160.0,5.25,1
A_LA,4,46112,100M,100.0,1967.0,288.0,2.91,2
A_LA,4,46116,200M,200.0,16015.0,589.0,2.85,0
A_LA,4,46110,200M,201.0,16992.0,801.0,2.1,4
A_LA,4,46114,200M,201.0,15963.0,700.0,2.41,3
