Connecting to host 10.0.0.2, port 5203
[ 24] local 10.0.0.1 port 46114 connected to 10.0.0.2 port 5203
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  82.0 KBytes   672 Kbits/sec    0   14.1 KBytes       
[ 24]   1.00-2.01   sec  14.1 KBytes   115 Kbits/sec    0   28.3 KBytes       
[ 24]   2.01-3.01   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[ 24]   3.01-4.00   sec  18.4 KBytes   152 Kbits/sec    2   24.0 KBytes       
[ 24]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[ 24]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0   24.0 KBytes       
[ 24]   6.00-7.00   sec  19.8 KBytes   162 Kbits/sec    5   21.2 KBytes       
[ 24]   7.00-8.00   sec  80.6 KBytes   661 Kbits/sec    0   25.5 KBytes       
[ 24]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[ 24]   9.00-10.00  sec  63.6 KBytes   521 Kbits/sec    0   29.7 KBytes       
[ 24]  10.00-11.00  sec  63.6 KBytes   521 Kbits/sec    0   31.1 KBytes       
[ 24]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   31.1 KBytes       
[ 24]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec    0   42.4 KBytes       
[ 24]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[ 24]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    4   29.7 KBytes       
[ 24]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[ 24]  16.00-17.00  sec  63.6 KBytes   522 Kbits/sec    1   29.7 KBytes       
[ 24]  17.00-18.00  sec  63.6 KBytes   520 Kbits/sec    0   36.8 KBytes       
[ 24]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   36.8 KBytes       
[ 24]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   41.0 KBytes       
[ 24]  20.00-21.00  sec  63.6 KBytes   521 Kbits/sec    0   43.8 KBytes       
[ 24]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[ 24]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    0   53.7 KBytes       
[ 24]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   53.7 KBytes       
[ 24]  24.00-25.00  sec   255 KBytes  2.09 Mbits/sec    0   80.6 KBytes       
[ 24]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   80.6 KBytes       
[ 24]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   15   56.6 KBytes       
[ 24]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    8   48.1 KBytes       
[ 24]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    4   56.6 KBytes       
[ 24]  29.00-30.00  sec   127 KBytes  1.04 Mbits/sec    0   48.1 KBytes       
[ 24]  30.00-31.00  sec  63.6 KBytes   522 Kbits/sec    0   41.0 KBytes       
[ 24]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[ 24]  32.00-33.00  sec  63.6 KBytes   521 Kbits/sec    0   46.7 KBytes       
[ 24]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    0   46.7 KBytes       
[ 24]  34.00-35.00  sec  63.6 KBytes   521 Kbits/sec    0   52.3 KBytes       
[ 24]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[ 24]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    3   36.8 KBytes       
[ 24]  37.00-38.00  sec  63.6 KBytes   521 Kbits/sec    0   41.0 KBytes       
[ 24]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[ 24]  39.00-40.00  sec  63.6 KBytes   522 Kbits/sec    0   49.5 KBytes       
[ 24]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[ 24]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[ 24]  42.00-43.00  sec  63.6 KBytes   521 Kbits/sec    0   62.2 KBytes       
[ 24]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   62.2 KBytes       
[ 24]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec   11   43.8 KBytes       
[ 24]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[ 24]  46.00-47.00  sec   127 KBytes  1.04 Mbits/sec    0   45.2 KBytes       
[ 24]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[ 24]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   56.6 KBytes       
[ 24]  49.00-50.00  sec  63.6 KBytes   521 Kbits/sec    0   60.8 KBytes       
[ 24]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0   60.8 KBytes       
[ 24]  51.00-52.00  sec  63.6 KBytes   521 Kbits/sec    0   66.5 KBytes       
[ 24]  52.00-53.00  sec  63.6 KBytes   521 Kbits/sec    0   86.3 KBytes       
[ 24]  53.00-54.00  sec  63.6 KBytes   521 Kbits/sec    0   87.7 KBytes       
[ 24]  54.00-55.00  sec   318 KBytes  2.60 Mbits/sec    0    130 KBytes       
[ 24]  55.00-56.00  sec   255 KBytes  2.09 Mbits/sec    0    167 KBytes       
[ 24]  56.00-57.00  sec   191 KBytes  1.56 Mbits/sec    0    192 KBytes       
[ 24]  57.00-58.00  sec   700 KBytes  5.74 Mbits/sec    0    288 KBytes       
[ 24]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0    288 KBytes       
[ 24]  59.00-60.00  sec  1.06 MBytes  8.86 Mbits/sec    0    433 KBytes       
[ 24]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    0    433 KBytes       
[ 24]  61.00-62.00  sec   509 KBytes  4.17 Mbits/sec   63    352 KBytes       
[ 24]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec   10    348 KBytes       
[ 24]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec   35    348 KBytes       
[ 24]  64.00-65.00  sec   255 KBytes  2.08 Mbits/sec    5    348 KBytes       
[ 24]  65.00-66.01  sec  0.00 Bytes  0.00 bits/sec    0    348 KBytes       
[ 24]  66.01-67.00  sec   636 KBytes  5.23 Mbits/sec    0    376 KBytes       
[ 24]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0    376 KBytes       
[ 24]  68.00-69.00  sec   255 KBytes  2.08 Mbits/sec    0    430 KBytes       
[ 24]  69.00-70.00  sec  63.6 KBytes   523 Kbits/sec    0    444 KBytes       
[ 24]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    2    441 KBytes       
[ 24]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec   23    310 KBytes       
[ 24]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0    310 KBytes       
[ 24]  73.00-74.00  sec   127 KBytes  1.04 Mbits/sec    0    310 KBytes       
[ 24]  74.00-75.00  sec   573 KBytes  4.69 Mbits/sec    0    318 KBytes       
[ 24]  75.00-76.02  sec   127 KBytes  1.03 Mbits/sec    0    331 KBytes       
[ 24]  76.02-77.00  sec   255 KBytes  2.12 Mbits/sec    1    331 KBytes       
[ 24]  77.00-78.00  sec  63.6 KBytes   521 Kbits/sec    0    332 KBytes       
[ 24]  78.00-79.00  sec   318 KBytes  2.61 Mbits/sec    0    344 KBytes       
[ 24]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0    344 KBytes       
[ 24]  80.00-81.00  sec   255 KBytes  2.08 Mbits/sec    0    392 KBytes       
[ 24]  81.00-82.00  sec  63.6 KBytes   522 Kbits/sec    0    399 KBytes       
[ 24]  82.00-83.00  sec   127 KBytes  1.04 Mbits/sec    0    465 KBytes       
[ 24]  83.00-84.00  sec   191 KBytes  1.56 Mbits/sec    0    542 KBytes       
[ 24]  84.00-85.00  sec   191 KBytes  1.57 Mbits/sec    0    590 KBytes       
[ 24]  85.00-86.01  sec   255 KBytes  2.08 Mbits/sec    0    711 KBytes       
[ 24]  86.01-87.00  sec  0.00 Bytes  0.00 bits/sec    0    714 KBytes       
[ 24]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec  194    441 KBytes       
[ 24]  88.00-89.00  sec   764 KBytes  6.25 Mbits/sec    0    499 KBytes       
[ 24]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec   42    406 KBytes       
[ 24]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec   27    349 KBytes       
[ 24]  91.00-92.00  sec  63.6 KBytes   521 Kbits/sec    1    349 KBytes       
[ 24]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec   12    349 KBytes       
[ 24]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec   11    349 KBytes       
[ 24]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 24]  95.00-96.00  sec  63.6 KBytes   521 Kbits/sec    2   2.83 KBytes       
[ 24]  96.00-97.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[ 24]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    4   5.66 KBytes       
[ 24]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[ 24]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 24] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[ 24] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    4   5.66 KBytes       
[ 24] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    6   8.48 KBytes       
[ 24] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec   10   14.1 KBytes       
[ 24] 104.00-105.00 sec  0.00 Bytes  0.00 bits/sec   15   21.2 KBytes       
[ 24] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec   35   38.2 KBytes       
[ 24] 106.00-107.00 sec  0.00 Bytes  0.00 bits/sec   40   56.6 KBytes       
[ 24] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec   42   76.4 KBytes       
[ 24] 108.00-109.01 sec  0.00 Bytes  0.00 bits/sec   68    109 KBytes       
[ 24] 109.01-110.00 sec  0.00 Bytes  0.00 bits/sec  115    163 KBytes       
[ 24] 110.00-111.00 sec  0.00 Bytes  0.00 bits/sec    6    165 KBytes       
[ 24] 111.00-112.00 sec  0.00 Bytes  0.00 bits/sec  167    245 KBytes       
[ 24] 112.00-113.00 sec  0.00 Bytes  0.00 bits/sec   34    247 KBytes       
[ 24] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec   92    247 KBytes       
[ 24] 114.00-115.00 sec  0.00 Bytes  0.00 bits/sec  126    247 KBytes       
[ 24] 115.00-116.00 sec  0.00 Bytes  0.00 bits/sec   65    247 KBytes       
[ 24] 116.00-117.00 sec  0.00 Bytes  0.00 bits/sec    0    247 KBytes       
[ 24] 117.00-118.00 sec  0.00 Bytes  0.00 bits/sec    0    247 KBytes       
[ 24] 118.00-119.00 sec  0.00 Bytes  0.00 bits/sec    0    247 KBytes       
[ 24] 119.00-120.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 24] 120.00-121.00 sec  0.00 Bytes  0.00 bits/sec    6   8.48 KBytes       
[ 24] 121.00-122.00 sec  0.00 Bytes  0.00 bits/sec   36   50.9 KBytes       
[ 24] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    6    153 KBytes       
[ 24] 123.00-124.00 sec   573 KBytes  4.69 Mbits/sec    0    239 KBytes       
[ 24] 124.00-125.00 sec  63.6 KBytes   521 Kbits/sec    0    243 KBytes       
[ 24] 125.00-126.00 sec   255 KBytes  2.08 Mbits/sec    0    255 KBytes       
[ 24] 126.00-127.00 sec  0.00 Bytes  0.00 bits/sec    0    255 KBytes       
[ 24] 127.00-128.00 sec   255 KBytes  2.08 Mbits/sec    0    267 KBytes       
[ 24] 128.00-129.00 sec  0.00 Bytes  0.00 bits/sec    0    267 KBytes       
[ 24] 129.00-130.00 sec  0.00 Bytes  0.00 bits/sec   71    175 KBytes       
[ 24] 130.00-131.00 sec  0.00 Bytes  0.00 bits/sec    0    175 KBytes       
[ 24] 131.00-132.00 sec  0.00 Bytes  0.00 bits/sec    0    175 KBytes       
[ 24] 132.00-133.00 sec  0.00 Bytes  0.00 bits/sec   33    168 KBytes       
[ 24] 133.00-134.00 sec  0.00 Bytes  0.00 bits/sec    0    168 KBytes       
[ 24] 134.00-135.00 sec  0.00 Bytes  0.00 bits/sec   16    175 KBytes       
[ 24] 135.00-136.00 sec  0.00 Bytes  0.00 bits/sec    0    175 KBytes       
[ 24] 136.00-137.00 sec  63.6 KBytes   521 Kbits/sec    0    106 KBytes       
[ 24] 137.00-138.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 24] 138.00-139.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[ 24] 139.00-140.00 sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[ 24] 140.00-141.00 sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[ 24] 141.00-142.00 sec  63.6 KBytes   521 Kbits/sec   14   19.8 KBytes       
[ 24] 142.00-143.00 sec  63.6 KBytes   521 Kbits/sec   12    109 KBytes       
[ 24] 143.00-144.00 sec  0.00 Bytes  0.00 bits/sec    0    109 KBytes       
[ 24] 144.00-145.00 sec  0.00 Bytes  0.00 bits/sec    0    109 KBytes       
[ 24] 145.00-146.00 sec  0.00 Bytes  0.00 bits/sec    0    109 KBytes       
[ 24] 146.00-147.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[ 24] 147.00-148.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[ 24] 148.00-149.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[ 24] 149.00-150.00 sec  0.00 Bytes  0.00 bits/sec   55   93.3 KBytes       
[ 24] 150.00-151.00 sec  0.00 Bytes  0.00 bits/sec    0   93.3 KBytes       
[ 24] 151.00-152.00 sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[ 24] 152.00-153.00 sec  0.00 Bytes  0.00 bits/sec    0    107 KBytes       
[ 24] 153.00-154.00 sec   191 KBytes  1.56 Mbits/sec    0    150 KBytes       
[ 24] 154.00-155.00 sec  0.00 Bytes  0.00 bits/sec    0    150 KBytes       
[ 24] 155.00-156.00 sec  63.6 KBytes   521 Kbits/sec    0    222 KBytes       
[ 24] 156.00-157.00 sec  0.00 Bytes  0.00 bits/sec    0    222 KBytes       
[ 24] 157.00-158.00 sec   191 KBytes  1.56 Mbits/sec    0    332 KBytes       
[ 24] 158.00-159.00 sec  0.00 Bytes  0.00 bits/sec    0    332 KBytes       
[ 24] 159.00-160.00 sec  63.6 KBytes   521 Kbits/sec   74    212 KBytes       
[ 24] 160.00-161.00 sec  0.00 Bytes  0.00 bits/sec    0    212 KBytes       
[ 24] 161.00-162.00 sec   382 KBytes  3.13 Mbits/sec   31    201 KBytes       
[ 24] 162.00-163.00 sec  0.00 Bytes  0.00 bits/sec    9    206 KBytes       
