Connecting to host 10.0.0.2, port 5205
[ 24] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  96.2 KBytes   787 Kbits/sec    0   28.3 KBytes       
[ 24]   1.00-2.00   sec   263 KBytes  2.15 Mbits/sec    0   45.2 KBytes       
[ 24]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   49.5 KBytes       
[ 24]   3.00-4.01   sec   127 KBytes  1.03 Mbits/sec    0   55.1 KBytes       
[ 24]   4.01-5.00   sec   127 KBytes  1.05 Mbits/sec    0   66.5 KBytes       
[ 24]   5.00-6.01   sec   191 KBytes  1.55 Mbits/sec    0   87.7 KBytes       
[ 24]   6.01-7.01   sec   255 KBytes  2.09 Mbits/sec    0    127 KBytes       
[ 24]   7.01-8.01   sec  0.00 Bytes  0.00 bits/sec    0    127 KBytes       
[ 24]   8.01-9.01   sec   509 KBytes  4.19 Mbits/sec    0    191 KBytes       
[ 24]   9.01-10.00  sec  0.00 Bytes  0.00 bits/sec    0    191 KBytes       
[ 24]  10.00-11.00  sec   700 KBytes  5.74 Mbits/sec    0    287 KBytes       
[ 24]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0    287 KBytes       
[ 24]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   81    201 KBytes       
[ 24]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0    201 KBytes       
[ 24]  14.00-15.00  sec   255 KBytes  2.08 Mbits/sec    2    201 KBytes       
[ 24]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0    201 KBytes       
[ 24]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec    2    201 KBytes       
[ 24]  17.00-18.00  sec   509 KBytes  4.17 Mbits/sec    0    141 KBytes       
[ 24]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0    141 KBytes       
[ 24]  19.00-20.00  sec   127 KBytes  1.04 Mbits/sec    0    158 KBytes       
[ 24]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    158 KBytes       
[ 24]  21.00-22.00  sec   191 KBytes  1.56 Mbits/sec    0    165 KBytes       
[ 24]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0    165 KBytes       
[ 24]  23.00-24.00  sec   127 KBytes  1.05 Mbits/sec    0    171 KBytes       
[ 24]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    171 KBytes       
