agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
B-HET,8,46110,25M,25.1,2031.0,188.0,1.12,1
B-HET,8,46110,25M,25.1,825.0,465.0,0.4423828125,0
B-HET,8,46114,80M,80.1,2685.0,1125.87,0.5830078125,0
B-HET,8,46114,80M,80.2,5153.0,1083.0,0.6064453125,1
B-HET,8,46122,800M,801.0,58475.0,2239.0,3.0,1
B-HET,8,46122,800M,801.0,33066.0,4613.0,1.46,0
B-HET,8,46118,200M,200.0,27125.0,1460.0,1.15,0
B-HET,8,46118,200M,200.0,17143.0,1288.0,1.3,1
B-HET,8,46112,50M,50.0,873.0,1127.0,0.36328125,0
B-HET,8,46112,50M,50.0,1673.0,496.0,0.826171875,1
B-HET,8,46116,100M,101.0,9295.0,1351.0,0.6142578125,0
B-HET,8,46116,100M,101.0,3365.0,882.0,0.93359375,1
B-HET,8,46120,400M,400.0,24864.0,1959.0,1.71,1
B-HET,8,46120,400M,400.0,17294.0,3076.0,1.09,0
B-HET,8,46124,1600M,158720.0,134002.0,3924.0,3.42,1
B-HET,8,46124,1600M,158720.0,134002.0,3924.0,3.42,0
B-LA-HET,8,46124,1600M,None,15344.0,3044.0,4.41,0
B-LA-HET,8,46124,1600M,None,25982.0,3247.0,4.13,1
B-LA-HET,8,46112,50M,50.1,913.0,794.0,0.517578125,1
B-LA-HET,8,46112,50M,50.1,897.0,332.0,1.27,0
B-LA-HET,8,46120,400M,400.0,4434.0,1552.0,2.16,0
B-LA-HET,8,46120,400M,400.0,8680.0,3305.0,1.02,1
B-LA-HET,8,46116,100M,100.0,4751.0,1514.0,0.5419921875,1
B-LA-HET,8,46116,100M,100.0,2727.0,736.0,1.14,0
B-LA-HET,8,46114,80M,80.2,1280.0,412.0,1.63,1
B-LA-HET,8,46114,80M,80.1,2026.0,644.0,1.04,0
B-LA-HET,8,46110,25M,25.1,545.0,204.0,1.03,0
B-LA-HET,8,46110,25M,25.0,442.0,175.0,1.2,1
B-LA-HET,8,46118,200M,200.0,4064.0,1982.0,0.8271484375,1
B-LA-HET,8,46118,200M,200.0,3147.0,923.0,1.82,0
B-LA-HET,8,46122,800M,801.0,9952.0,2206.0,3.04,0
B-LA-HET,8,46122,800M,801.0,14863.0,3691.0,1.82,1
