agent,iperfs,size,iter
A2,2,10M,5
A2,2,50M,5
A2,2,100M,5
A2,2,200M,5
A2,2,500M,5
A2,4,10M,5
A2,4,50M,5
A2,4,100M,5
A2,4,200M,5
A2,4,500M,5
A2,8,10M,5
A2,8,50M,5
A2,8,100M,5
A2,8,200M,5
A2,8,500M,5
B2,2,10M,5
B2,2,50M,5
B2,2,100M,5
B2,2,200M,5
B2,2,500M,5
B2,4,10M,5
B2,4,50M,5
B2,4,100M,5
B2,4,200M,5
B2,4,500M,5
B2,8,10M,5
B2,8,50M,5
B2,8,100M,5
B2,8,200M,5
B2,8,500M,5
F2,2,10M,5
F2,2,50M,5
F2,2,100M,5
F2,2,200M,5
F2,2,500M,5
F2,4,10M,5
F2,4,50M,5
F2,4,100M,5
F2,4,200M,5
F2,4,500M,5
F2,8,10M,5
F2,8,50M,5
F2,8,100M,5
F2,8,200M,5
F2,8,500M,5
