Timestep;Transferred Bytes;Bandwidth (Mbps)
1.0;1468006.4;11.8
2.0;846848.0;6.78
3.0;651264.0;5.21
4.0;455680.0;3.65
5.0;521216.0;4.17
6.0;455680.0;3.65
7.0;521216.0;4.17
8.0;521216.0;4.17
9.0;455680.0;3.65
10.0;521216.0;4.17
11.0;521216.0;4.17
12.0;521216.0;4.17
13.0;521216.0;4.17
14.0;455680.0;3.65
15.0;521216.0;4.17
16.0;521216.0;4.17
17.0;521216.0;4.17
18.0;521216.0;4.17
19.0;455680.0;3.65
20.0;521216.0;4.17
21.0;521216.0;4.17
22.0;521216.0;4.17
23.0;455680.0;3.65
24.0;521216.0;4.17
25.0;521216.0;4.17
26.0;521216.0;4.17
27.0;521216.0;4.17
28.0;521216.0;4.17
29.0;455680.0;3.64
30.0;455680.0;3.66
31.0;391168.0;3.13
32.0;391168.0;3.13
33.0;391168.0;3.13
34.0;455680.0;3.65
35.0;391168.0;3.13
36.0;391168.0;3.13
37.0;391168.0;3.13
38.0;391168.0;3.13
39.0;455680.0;3.65
40.0;391168.0;3.13
41.0;391168.0;3.13
42.0;391168.0;3.13
43.0;391168.0;3.13
44.0;391168.0;3.13
45.0;391168.0;3.13
46.0;391168.0;3.13
