Step;State;Reward
3; [0.2080078125, 9.7109375, 0.0, 0.2081298828125, 0.0, 0.0, 9.4609375, 9.4765625, 0.2080078125, 9.4765625, 9.4765625, 0.0, 0.0, 0.0, 0.0, 0.0];1006.7662
4; [0.391845703125, 9.09375, 0.00011444091796875, 0.390625, 0.00011444091796875, 0.00011444091796875, 9.453125, 9.4765625, 0.390625, 9.4765625, 9.4765625, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];994.67413
5; [0.345947265625, 12.03125, 0.0, 0.347900390625, 0.0, 0.0, 11.8359375, 11.859375, 0.347900390625, 11.859375, 11.859375, 0.0, 0.0, 0.0, 0.0, 0.0];1540.0099
6; [0.470703125, 12.3671875, 0.0001430511474609375, 0.47021484375, 0.0001430511474609375, 0.0001430511474609375, 11.765625, 11.7734375, 0.47021484375, 11.7734375, 11.7734375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375];1530.0742
7; [0.29248046875, 9.453125, 0.0, 0.29248046875, 0.0, 0.0, 9.5546875, 9.5546875, 0.292236328125, 9.5546875, 9.5546875, 0.0, 0.0, 0.0, 0.0, 0.0];1016.12396
8; [0.256591796875, 12.0, 0.0, 0.257080078125, 0.0, 0.0, 11.75, 11.7734375, 0.25732421875, 11.7734375, 11.7734375, 0.0, 0.0, 0.0, 0.0, 0.0];1519.8528
9; [0.4287109375, 8.7265625, 0.0, 0.4287109375, 0.0, 0.0, 9.390625, 9.390625, 0.4287109375, 9.390625, 9.390625, 0.0, 0.0, 0.0, 0.0, 0.0];972.65094
10; [0.257568359375, 12.484375, 0.0, 0.257568359375, 0.0, 0.0, 11.765625, 11.7890625, 0.257568359375, 11.7890625, 11.7890625, 0.0, 0.0, 0.0, 0.0, 0.0];1535.632
11; [3.0078125, 9.421875, 0.0, 3.759765625, 0.0, 2.494140625, 8.625, 10.1953125, 3.0078125, 10.1953125, 7.7109375, 0.0, 0.0, 0.0, 0.0, 3.109375];1316.0424
12; [3.216796875, 9.9375, 0.0, 3.216796875, 0.0, 2.96875, 6.390625, 9.3359375, 3.216796875, 9.3359375, 6.36328125, 0.0, 0.0, 0.0, 0.0, 2.974609375];1119.8826
13; [5.5546875, 12.3671875, 0.0, 5.5546875, 0.0, 5.29296875, 6.5234375, 11.8203125, 5.5546875, 11.8203125, 6.5234375, 0.0, 0.0, 0.0, 0.0, 5.29296875];1874.0953
14; [4.515625, 9.6484375, 0.0, 4.515625, 0.0, 4.3046875, 5.1328125, 9.4296875, 4.515625, 9.4296875, 5.12109375, 0.0, 0.0, 0.0, 0.0, 4.3046875];1205.5112
15; [5.96484375, 12.4609375, 0.0, 5.83984375, 0.0, 5.45703125, 6.34375, 11.8828125, 5.73046875, 11.8828125, 6.4140625, 0.0, 0.0, 0.0, 0.0, 5.46484375];1911.7671
16; [4.76171875, 9.671875, 0.0, 4.76171875, 0.0, 4.55078125, 4.89453125, 9.4453125, 4.7578125, 9.4453125, 4.89453125, 0.0, 0.0, 0.0, 0.0, 4.546875];1222.5126
17; [5.6796875, 9.1640625, 0.00011444091796875, 5.671875, 0.00011444091796875, 5.3515625, 4.171875, 9.484375, 5.69140625, 9.484375, 4.16796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 5.3515625];1275.6836
18; [9.8828125, 11.9375, 0.0, 9.875, 0.0, 9.3125, 2.4375, 11.7421875, 9.6484375, 11.7421875, 2.431640625, 0.0, 0.0, 0.0, 0.0, 9.3046875];2144.7761
19; [7.58203125, 9.8828125, 0.00011444091796875, 7.57421875, 0.00011444091796875, 7.2734375, 2.13671875, 9.421875, 7.5703125, 9.421875, 2.13671875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 7.27734375];1380.2616
20; [8.828125, 11.4140625, 0.0, 8.9609375, 0.0, 8.9609375, 2.732421875, 11.6796875, 9.203125, 11.6796875, 2.734375, 0.0, 0.0, 0.0, 0.0, 8.953125];2058.666
21; [9.71875, 12.3515625, 0.0001430511474609375, 9.5703125, 0.0001430511474609375, 8.9609375, 2.8125, 11.7890625, 9.3125, 11.7890625, 2.8125, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 8.9609375];2146.9607
22; [7.2734375, 9.9375, 0.0, 7.27734375, 0.0, 6.96875, 2.443359375, 9.40625, 7.27734375, 9.40625, 2.439453125, 0.0, 0.0, 0.0, 0.0, 6.96875];1361.2286
23; [9.03125, 9.3203125, 0.00011444091796875, 9.0234375, 0.00011444091796875, 9.109375, 0.3720703125, 9.4296875, 9.265625, 9.4296875, 0.3720703125, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 9.1015625];1466.164
24; [10.921875, 9.140625, 2.396484375, 11.234375, 0.0, 11.1484375, 0.0, 13.5703125, 13.921875, 11.1875, 2.37890625, 0.0, 0.0, 2.40625, 0.0, 11.140625];2765.9373
25; [9.1796875, 11.0859375, 8.390625, 9.2890625, 0.00011444091796875, 5.0234375, 4.2421875, 17.5, 13.875, 9.390625, 12.3515625, 0.00011444091796875, 0.00011444091796875, 8.2109375, 0.00011444091796875, 5.01953125];4044.469
26; [9.3046875, 8.15625, 10.5390625, 9.28125, 0.0, 4.48046875, 4.78515625, 18.546875, 14.359375, 9.2421875, 14.078125, 0.0, 0.0, 9.328125, 0.0, 4.4921875];4398.7236
27; [11.6796875, 11.28125, 10.3359375, 20.5625, 0.0001430511474609375, 6.72265625, 16.203125, 18.75, 7.671875, 18.375, 12.03125, 0.0001430511474609375, 11.4296875, 0.0001430511474609375, 0.0001430511474609375, 6.72265625];5768.0464
28; [11.5859375, 12.234375, 9.0625, 21.40625, 0.0, 8.921875, 14.25, 20.5, 9.8203125, 20.5, 11.5859375, 0.0, 11.4140625, 0.0, 0.0, 8.90625];6647.6816
29; [9.3125, 10.625, 1.7626953125, 11.2578125, 0.0, 8.7734375, 2.859375, 13.2578125, 8.921875, 13.2578125, 4.81640625, 0.0, 2.32421875, 0.0, 0.0, 8.78125];2597.3823
30; [11.6953125, 8.5546875, 10.4453125, 22.5, 0.0, 8.5, 14.046875, 21.375, 10.6796875, 21.375, 11.640625, 0.0, 11.4453125, 0.0, 0.0, 8.5];6958.394
31; [9.5, 1.9521484375, 7.48046875, 10.5546875, 0.0, 0.48291015625, 10.9375, 9.9765625, 1.080078125, 9.9765625, 9.4921875, 0.0, 9.40625, 0.0, 0.0, 0.48291015625];1663.4674
32; [10.5703125, 14.7578125, 10.015625, 18.578125, 0.0, 7.5703125, 13.9140625, 19.203125, 8.59375, 19.203125, 11.65625, 0.0, 10.0078125, 0.0, 0.0, 7.55078125];5899.3174
33; [4.1796875, 13.8125, 0.0, 2.966796875, 0.0, 2.17578125, 7.3515625, 11.59375, 2.890625, 11.59375, 9.390625, 0.0, 0.053131103515625, 0.0, 0.0, 2.189453125];1649.1749
34; [2.2734375, 11.171875, 0.0, 2.29296875, 0.0, 1.640625, 9.59375, 12.0625, 2.30859375, 12.0625, 10.4140625, 0.0, 0.0, 0.0, 0.0, 1.66015625];1651.8845
35; [8.0625, 9.953125, 0.0, 8.0625, 0.0, 7.84375, 1.5283203125, 11.6953125, 10.1015625, 11.6953125, 1.912109375, 0.0, 0.0, 0.0, 0.0, 7.84765625];1911.116
36; [7.4609375, 13.1953125, 0.0, 7.44921875, 0.0, 7.05859375, 4.734375, 11.8203125, 7.44921875, 11.8203125, 4.73828125, 0.0, 0.0, 0.0, 0.0, 7.0625];2028.4696
37; [5.234375, 9.09375, 0.0, 5.21875, 0.0, 4.9140625, 4.50390625, 9.4375, 5.20703125, 9.4375, 4.50390625, 0.0, 0.0, 0.0, 0.0, 4.921875];1235.2826
38; [6.03515625, 12.3984375, 0.0001430511474609375, 6.03515625, 0.0001430511474609375, 5.6171875, 6.23828125, 11.84375, 6.03515625, 11.84375, 6.234375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 5.609375];1916.5704
39; [5.390625, 8.96875, 0.0, 5.3984375, 0.0, 5.05078125, 4.3671875, 9.40625, 5.40625, 9.40625, 4.36328125, 0.0, 0.0, 0.0, 0.0, 5.05078125];1237.7352
40; [6.44140625, 11.9140625, 0.0001430511474609375, 6.43359375, 0.0001430511474609375, 6.1484375, 5.61328125, 11.78125, 6.421875, 11.78125, 5.62109375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 6.15234375];1915.9248
41; [2.67578125, 9.3671875, 0.0, 2.6640625, 0.0, 2.3125, 7.1484375, 9.4296875, 2.66015625, 9.4296875, 7.1484375, 0.0, 0.0, 0.0, 0.0, 2.3203125];1096.9644
42; [2.67578125, 9.3671875, 0.0, 2.6640625, 0.0, 2.3125, 7.1484375, 9.4296875, 2.66015625, 9.4296875, 7.1484375, 0.0, 0.0, 0.0, 0.0, 2.3203125];0.0
43; [3.583984375, 11.265625, 0.0001430511474609375, 3.599609375, 0.0001430511474609375, 3.125, 8.625, 11.7890625, 3.6015625, 11.7890625, 8.625, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 3.115234375];1700.7115
44; [3.51953125, 12.078125, 0.0, 3.515625, 0.0, 3.24609375, 8.5625, 11.8125, 3.513671875, 11.8125, 8.5546875, 0.0, 0.0, 0.0, 0.0, 3.25390625];1721.2064
45; [3.013671875, 9.3203125, 0.00011444091796875, 3.01171875, 0.00011444091796875, 2.55078125, 6.9453125, 9.484375, 3.01171875, 9.484375, 6.9375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 2.55078125];1125.6417
46; [3.013671875, 9.3203125, 0.00011444091796875, 3.01171875, 0.00011444091796875, 2.55078125, 6.9453125, 9.484375, 3.01171875, 9.484375, 6.9375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 2.55078125];0.0
47; [3.490234375, 11.5234375, 0.0, 3.490234375, 0.0, 3.091796875, 8.71875, 11.8203125, 3.494140625, 11.8203125, 8.734375, 0.0, 0.0, 0.0, 0.0, 3.083984375];1708.861
48; [3.861328125, 12.0703125, 0.0001430511474609375, 3.861328125, 0.0001430511474609375, 3.583984375, 8.21875, 9.453125, 3.083984375, 9.453125, 8.21875, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 3.591796875];1292.855
49; [3.12109375, 9.3671875, 0.0, 3.12109375, 0.0, 2.728515625, 6.7421875, 9.46875, 3.12109375, 9.46875, 6.7421875, 0.0, 0.0, 0.0, 0.0, 2.7265625];1128.4773
50; [3.544921875, 12.21875, 0.0001430511474609375, 3.556640625, 0.0001430511474609375, 3.103515625, 8.71875, 11.796875, 3.5703125, 11.796875, 8.71875, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 3.08984375];1725.5894
51; [5.59375, 9.7578125, 0.0, 5.58203125, 0.0, 5.3359375, 4.09375, 9.4609375, 5.5703125, 9.4609375, 4.09765625, 0.0, 0.0, 0.0, 0.0, 5.35546875];1273.0842
52; [8.59375, 11.8828125, 0.0, 8.609375, 0.0, 8.125, 3.634765625, 11.7421875, 8.6328125, 11.7421875, 3.62890625, 0.0, 0.0, 0.0, 0.0, 8.1171875];2060.2883
53; [2.21875, 8.8515625, 0.0, 2.216796875, 0.0, 1.9150390625, 7.5390625, 9.453125, 2.216796875, 9.453125, 7.5390625, 0.0, 0.0, 0.0, 0.0, 1.9150390625];1064.7603
54; [2.22265625, 9.671875, 0.0, 2.2265625, 0.0, 1.884765625, 7.609375, 9.484375, 2.232421875, 7.2578125, 5.37890625, 0.0, 0.0, 0.0, 0.0, 1.8779296875];1002.7892
55; [11.6796875, 13.0390625, 10.8984375, 11.7109375, 0.0, 0.34375, 11.3671875, 22.78125, 12.0859375, 5.41796875, 16.046875, 0.0, 0.0, 11.09375, 0.0, 0.349365234375];5883.0977
56; [11.7265625, 9.40625, 10.6328125, 11.7734375, 0.0, 0.0, 11.703125, 22.578125, 11.828125, 5.46484375, 16.328125, 0.0, 0.0, 10.84375, 0.0, 0.0];5656.54
57; [11.734375, 11.1640625, 12.7578125, 11.734375, 0.0, 0.0, 11.6640625, 23.359375, 12.2421875, 5.62109375, 17.265625, 0.0, 0.0, 11.71875, 0.0, 0.0];6178.859
58; [9.3984375, 8.7265625, 13.28125, 9.3828125, 0.0, 0.0, 9.3671875, 18.75, 9.7578125, 7.26171875, 16.625, 0.0, 0.0, 9.3828125, 0.0, 0.0];4309.8325
59; [9.3984375, 8.7265625, 13.28125, 9.3828125, 0.0, 0.0, 9.3671875, 18.75, 9.7578125, 7.26171875, 16.625, 0.0, 0.0, 9.3828125, 0.0, 0.0];0.0
60; [11.734375, 15.046875, 11.4296875, 11.6953125, 0.0001430511474609375, 0.0001430511474609375, 11.71875, 23.421875, 12.609375, 11.71875, 23.421875, 0.0001430511474609375, 0.0001430511474609375, 11.6875, 0.0001430511474609375, 0.0001430511474609375];6906.5454
61; [9.2265625, 1.892578125, 8.546875, 8.78125, 0.0, 0.0, 4.203125, 12.328125, 8.2578125, 4.8359375, 12.328125, 0.0, 0.0, 7.49609375, 0.0, 0.0];1993.8839
62; [11.8515625, 0.0001430511474609375, 12.453125, 11.8984375, 0.0001430511474609375, 0.0001430511474609375, 0.0001430511474609375, 11.84375, 12.25, 0.0001430511474609375, 11.8359375, 0.0001430511474609375, 0.0001430511474609375, 11.8984375, 0.0001430511474609375, 0.0001430511474609375];2096.3586
63; [11.8515625, 0.0, 12.484375, 11.9296875, 0.0, 0.0, 0.0, 11.8984375, 12.4375, 0.0, 11.8984375, 0.0, 0.0, 11.890625, 0.0, 0.0];2114.2407
64; [9.5234375, 0.00011444091796875, 6.625, 9.5234375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 8.6328125, 8.953125, 0.00011444091796875, 8.84375, 0.00011444091796875, 0.00011444091796875, 8.546875, 0.00011444091796875, 0.00011444091796875];1125.0248
65; [9.53125, 4.6015625, 9.0, 9.53125, 0.0, 0.0, 4.6015625, 13.8046875, 9.609375, 0.0, 9.203125, 0.0, 0.0, 9.1875, 0.0, 0.0];2280.3481
66; [9.5390625, 7.859375, 9.3671875, 9.546875, 0.00011444091796875, 0.00011444091796875, 7.64453125, 17.03125, 9.8828125, 0.00011444091796875, 9.40625, 0.00011444091796875, 0.00011444091796875, 9.4375, 0.00011444091796875, 0.00011444091796875];3175.4204
67; [11.859375, 13.6484375, 12.9609375, 11.890625, 0.0, 0.0, 11.6328125, 23.484375, 12.359375, 0.0, 11.8515625, 0.0, 0.0, 11.890625, 0.0, 0.0];5875.6436
68; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];718.2668
69; [0.385009765625, 13.0390625, 0.00011444091796875, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 9.3828125, 9.375, 0.384521484375, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875];0.0
