Timestep;Transferred Bytes;Bandwidth (Mbps)
0.0;549888.0;4.4
1.0;391168.0;3.13
2.0;391168.0;3.13
3.0;391168.0;3.13
4.0;455680.0;3.64
5.0;391168.0;3.13
6.0;521216.0;4.17
7.0;455680.0;3.62
8.01;782336.0;6.31
9.0;976896.0;7.83
10.0;716800.0;5.73
11.0;1174405.12;9.36
12.0;0.0;0.0
13.0;0.0;0.0
14.0;846848.0;6.77
15.0;391168.0;3.13
16.0;0.0;0.0
17.0;0.0;0.0
18.0;0.0;0.0
19.0;0.0;0.0
20.0;0.0;0.0
21.0;0.0;0.0
22.0;0.0;0.0
23.0;586752.0;4.69
24.0;391168.0;3.13
25.0;0.0;0.0
26.0;0.0;0.0
27.0;0.0;0.0
28.0;0.0;0.0
29.0;0.0;0.0
30.0;0.0;0.0
31.0;0.0;0.0
32.0;0.0;0.0
33.0;0.0;0.0
34.0;0.0;0.0
35.0;0.0;0.0
36.0;0.0;0.0
37.0;0.0;0.0
38.0;912384.0;7.3
39.0;0.0;0.0
40.0;0.0;0.0
41.0;0.0;0.0
42.0;0.0;0.0
43.0;0.0;0.0
44.0;0.0;0.0
45.0;0.0;0.0
46.0;325632.0;2.61
47.0;130048.0;1.04
48.0;0.0;0.0
49.0;0.0;0.0
50.0;0.0;0.0
51.0;0.0;0.0
52.0;0.0;0.0
53.0;0.0;0.0
54.0;0.0;0.0
55.0;0.0;0.0
56.0;0.0;0.0
57.0;65126.4;0.5087890625
58.0;521216.0;4.17
59.0;455680.0;3.65
60.0;65126.4;0.5087890625
61.0;0.0;0.0
62.0;65126.4;0.5087890625
63.0;0.0;0.0
64.0;0.0;0.0
65.0;130048.0;1.04
66.0;586752.0;4.69
67.0;0.0;0.0
68.0;0.0;0.0
69.0;0.0;0.0
70.0;65126.4;0.5087890625
71.0;0.0;0.0
72.0;65126.4;0.5087890625
73.0;325632.0;2.61
74.0;0.0;0.0
75.0;0.0;0.0
76.0;0.0;0.0
77.0;0.0;0.0
78.0;0.0;0.0
79.0;0.0;0.0
80.0;0.0;0.0
81.0;0.0;0.0
82.0;0.0;0.0
83.0;0.0;0.0
84.0;0.0;0.0
85.0;0.0;0.0
86.0;0.0;0.0
87.0;0.0;0.0
88.0;0.0;0.0
89.0;0.0;0.0
90.0;0.0;0.0
91.0;0.0;0.0
92.0;0.0;0.0
93.0;0.0;0.0
94.0;912384.0;7.3
95.0;1237319.68;9.91
96.0;651264.0;5.21
97.0;521216.0;4.17
98.0;455680.0;3.65
99.0;391168.0;3.13
100.0;391168.0;3.13
101.0;195584.0;1.56
102.0;65126.4;0.5087890625
103.0;261120.0;2.08
104.0;130048.0;1.04
105.0;65126.4;0.5087890625
106.0;0.0;0.0
107.0;0.0;0.0
108.0;0.0;0.0
109.0;0.0;0.0
110.0;130048.0;1.04
111.0;846848.0;6.77
112.0;261120.0;2.09
113.0;521216.0;4.17
114.0;391168.0;3.13
115.0;261120.0;2.08
116.0;195584.0;1.56
117.0;130048.0;1.04
118.0;325632.0;2.61
119.0;65126.4;0.5087890625
120.0;261120.0;2.08
121.0;782336.0;6.26
122.0;976896.0;7.82
123.0;1042432.0;8.34
124.0;1310720.0;10.5
125.0;774144.0;6.2
126.0;0.0;0.0
127.0;0.0;0.0
128.0;0.0;0.0
129.0;0.0;0.0
130.0;0.0;0.0
131.0;65126.4;0.509765625
132.0;391168.0;3.12
133.0;1310720.0;10.5
134.0;1310720.0;10.5
135.0;1310720.0;10.5
136.0;824320.0;6.6
137.0;391168.0;3.13
138.0;716800.0;5.73
139.0;130048.0;1.04
140.0;782336.0;6.25
141.0;455680.0;3.65
142.0;1042432.0;8.34
143.0;195584.0;1.56
144.0;0.0;0.0
145.0;0.0;0.0
146.0;0.0;0.0
147.0;0.0;0.0
148.0;65126.4;0.5087890625
149.0;0.0;0.0
150.0;0.0;0.0
151.0;0.0;0.0
152.0;0.0;0.0
153.0;0.0;0.0
154.0;0.0;0.0
155.0;0.0;0.0
156.0;0.0;0.0
157.0;0.0;0.0
158.0;0.0;0.0
159.0;0.0;0.0
160.0;0.0;0.0
161.0;0.0;0.0
162.0;0.0;0.0
163.0;0.0;0.0
164.0;0.0;0.0
165.0;0.0;0.0
166.0;0.0;0.0
167.0;0.0;0.0
168.0;0.0;0.0
169.0;1562378.24;12.5
170.0;976896.0;7.82
171.0;1111490.56;8.86
172.0;782336.0;6.25
173.0;716800.0;5.74
174.0;1111490.56;8.86
175.0;195584.0;1.57
176.0;455680.0;3.65
177.0;0.0;0.0
178.0;0.0;0.0
179.0;0.0;0.0
180.0;0.0;0.0
181.0;0.0;0.0
182.0;261120.0;2.09
183.0;65126.4;0.5087890625
184.0;2149580.8;17.2
185.0;130048.0;1.04
