Timestep;Transferred Bytes;Bandwidth (Mbps)
0.0;1153433.6;9.22
1.0;1174405.12;9.43
2.0;1184890.88;9.5
3.0;1111490.56;8.85
4.0;997376.0;7.99
5.0;890880.0;7.12
6.0;766976.0;6.14
7.0;762880.0;6.11
8.0;731136.0;5.83
9.0;661504.0;5.31
10.0;754688.0;6.03
11.0;539648.0;4.31
12.0;556032.0;4.46
13.0;631808.0;5.05
14.0;683008.0;5.47
15.0;354304.0;2.84
16.0;0.0;0.0
17.0;640000.0;5.12
18.0;891904.0;7.13
19.0;331776.0;2.65
20.0;237568.0;1.9
21.0;0.0;0.0
22.0;0.0;0.0
23.0;0.0;0.0
24.0;0.0;0.0
25.0;0.0;0.0
26.0;0.0;0.0
27.0;4341.76;0.033984375
28.0;0.0;0.0
29.0;0.0;0.0
30.0;1443.84;0.011328125
31.0;2897.92;0.02265625
32.0;7239.68;0.05654296875
33.0;28979.2;0.2265625
34.0;0.0;0.0
35.0;342016.0;2.73
36.0;324608.0;2.6
37.0;0.0;0.0
38.0;0.0;0.0
39.0;0.0;0.0
40.0;0.0;0.0
41.0;2897.92;0.02265625
42.0;0.0;0.0
43.0;0.0;0.0
44.0;24576.0;0.1923828125
45.0;346112.0;2.77
46.0;122880.0;0.9619140625
47.0;0.0;0.0
48.0;0.0;0.0
49.0;0.0;0.0
50.0;0.0;0.0
51.0;0.0;0.0
52.0;10137.6;0.07919921875
53.0;0.0;0.0
54.0;0.0;0.0
55.0;0.0;0.0
56.0;15974.4;0.1240234375
57.0;324608.0;2.6
58.0;783360.0;6.27
59.0;0.0;0.0
60.0;0.0;0.0
61.0;18841.6;0.1474609375
62.0;0.0;0.0
63.0;572416.0;4.58
64.0;15974.4;0.1240234375
65.0;0.0;0.0
66.0;0.0;0.0
67.0;0.0;0.0
68.0;0.0;0.0
69.0;2897.92;0.02265625
70.0;0.0;0.0
71.0;0.0;0.0
72.0;0.0;0.0
73.0;4341.76;0.033984375
74.0;126976.0;1.02
75.0;0.0;0.0
76.0;39116.8;0.3056640625
77.0;0.0;0.0
78.0;0.0;0.0
79.0;0.0;0.0
80.0;0.0;0.0
81.0;0.0;0.0
82.0;2897.92;0.02265625
83.0;0.0;0.0
84.0;0.0;0.0
85.0;10137.6;0.07919921875
86.0;0.0;0.0
87.0;7239.68;0.05654296875
88.0;0.0;0.0
89.0;0.0;0.0
90.0;0.0;0.0
91.0;17408.0;0.1357421875
92.0;0.0;0.0
93.0;88371.2;0.6904296875
94.0;0.0;0.0
95.0;261120.0;2.09
96.0;0.0;0.0
97.0;166912.0;1.33
98.0;248832.0;1.99
99.0;272384.0;2.18
100.0;391168.0;3.13
101.0;401408.0;3.21
102.0;507904.0;4.05
103.0;415744.0;3.33
104.0;572416.0;4.58
105.0;489472.0;3.91
106.0;629760.0;5.04
107.0;772096.0;6.17
108.0;245760.0;1.97
109.0;11571.2;0.0904296875
110.0;0.0;0.0
111.0;0.0;0.0
112.0;0.0;0.0
113.0;0.0;0.0
114.0;0.0;0.0
115.0;0.0;0.0
116.0;8683.52;0.06796875
117.0;0.0;0.0
118.0;3449815.04;27.6
119.0;766976.0;6.14
120.0;468992.0;3.75
121.0;964608.0;7.71
122.0;663552.0;5.31
123.0;521216.0;4.17
124.0;987136.0;7.9
125.0;256000.0;2.05
126.0;1021952.0;8.18
127.0;283648.0;2.27
128.0;26112.0;0.203125
129.0;0.0;0.0
130.0;0.0;0.0
131.0;34713.6;0.271484375
132.0;0.0;0.0
133.0;0.0;0.0
134.0;0.0;0.0
135.0;0.0;0.0
136.0;2897.92;0.02265625
137.0;261120.0;2.08
138.0;3837788.16;30.7
139.0;335872.0;2.69
