Step; State; Reward
0; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 100
1; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 150
2; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 1000
3; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 500
4; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 5000
5; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 1030
6; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 1003
7; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 1020
8; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 1090
9; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 900
10; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 700
11; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 800
12; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 1000
13; [0.26166916, 12.51005936, 0., 0.26164627, 0., 0. 11.80033493, 11.71031952,  0.26179504,  0.96738815,  0.96738815,  0., 0., 0., 0., 0.]; 7000
