snapshot_count, flow_id, flow["hard_timeout_s"], flow["byte_count"], flow["idle_timeout_s"], flow["packet_count"], flow["duration_sec"]
1,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,1883269868,5,33054,1
1,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,502004,5,7606,1
1,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,1883269794,5,33053,1
1,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,501930,5,7605,1
1,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,1883269868,5,33054,1
1,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,501930,5,7605,1
2,00:00:00:00:00:01-00:00:00:00:00:02-5-0x806,0,42,5,1,2
2,00:00:00:00:00:02-00:00:00:00:00:01-2-0x806,0,42,5,1,2
2,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,20746935816,5,363476,7
2,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,5501042,5,83349,7
2,00:00:00:00:00:01-00:00:00:00:00:02-3-0x806,0,42,5,1,2
2,00:00:00:00:00:02-00:00:00:00:00:01-1-0x806,0,0,5,0,2
2,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,20746935742,5,363475,7
2,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,5500968,5,83348,7
2,00:00:00:00:00:01-00:00:00:00:00:02-1-0x806,0,0,5,0,2
2,00:00:00:00:00:02-00:00:00:00:00:01-3-0x806,0,42,5,1,2
2,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,20746935816,5,363476,7
2,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,5500968,5,83348,7
3,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,36650250606,5,641851,13
3,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,9681482,5,146689,13
3,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,36650250532,5,641850,13
3,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,9681408,5,146688,13
3,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,36650250606,5,641851,13
3,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,9681408,5,146688,13
4,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,50889818440,5,900944,19
4,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,15392132,5,233214,19
4,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,50889818366,5,900943,19
4,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,15392058,5,233213,19
4,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,50889818440,5,900944,19
4,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,15392058,5,233213,19
5,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,64565838048,5,1140260,25
5,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,18933758,5,286875,25
5,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,64565837974,5,1140259,25
5,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,18933684,5,286874,25
5,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,64565838048,5,1140260,25
5,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,18933684,5,286874,25
6,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,77614847194,5,1378841,31
6,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,24326750,5,368587,31
6,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,77614847120,5,1378840,31
6,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,24326676,5,368586,31
6,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,77614847194,5,1378841,31
6,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,24326676,5,368586,31
7,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,92339903416,5,1636640,37
7,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,28189070,5,427107,37
7,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,92339903342,5,1636639,37
7,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,28188996,5,427106,37
7,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,92339903416,5,1636640,37
7,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,28188996,5,427106,37
8,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,107100767618,5,1895101,43
8,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,32087690,5,486177,43
8,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,107100767544,5,1895100,43
