timeslot;eth_dst;eth_src;eth_type;ipv4_src;ipv4_dst;in_port;packet_count;byte_count;duration_sec;idle_timeout_s;hard_timeout_s;priority;flow_id
3;00:00:00:00:00:01;00:00:00:00:00:02;0x800;10.0.0.2;10.0.0.1;5;19806;1307204;2;5;0;1;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5
3;00:00:00:00:00:02;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.2;2;87576;5001780936;2;5;0;1;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2
3;00:00:00:00:00:01;00:00:00:00:00:02;0x800;10.0.0.2;10.0.0.1;3;19806;1307204;2;5;0;1;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3
3;00:00:00:00:00:02;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.2;1;87575;5001780862;2;5;0;1;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1
3;00:00:00:00:00:01;00:00:00:00:00:02;0x800;10.0.0.2;10.0.0.1;1;19805;1307130;2;5;0;1;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1
3;00:00:00:00:00:02;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.2;3;87576;5001780936;2;5;0;1;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3
4;00:00:00:00:00:01;00:00:00:00:00:02;0x800;10.0.0.2;10.0.0.1;5;86060;5679968;8;5;0;1;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-5
4;00:00:00:00:00:02;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.2;2;376566;21499689868;8;5;0;1;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-2
4;00:00:00:00:00:01;00:00:00:00:00:02;0x800;10.0.0.2;10.0.0.1;3;86060;5679968;8;5;0;1;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-3
4;00:00:00:00:00:02;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.2;1;376565;21499689794;8;5;0;1;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-1
4;00:00:00:00:00:01;00:00:00:00:00:02;0x800;10.0.0.2;10.0.0.1;1;86059;5679894;8;5;0;1;00:00:00:00:00:02-00:00:00:00:00:01-0x800-10.0.0.2-10.0.0.1-1
4;00:00:00:00:00:02;00:00:00:00:00:01;0x800;10.0.0.1;10.0.0.2;3;376566;21499689868;8;5;0;1;00:00:00:00:00:01-00:00:00:00:00:02-0x800-10.0.0.1-10.0.0.2-3
