snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
0,0.0,0.0,6e-06,6e-06,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,6e-06,6e-06,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,6e-06,6e-06,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,6e-06,6e-06,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,7.8e-06,0.0,1.38e-05,6e-06,0.0,7.8e-06
9,7.8e-06,0.0,0.0,0.0,0.0,0.0
10,7.8e-06,0.0,1.38e-05,6e-06,0.0,7.8e-06
11,7.8e-06,0.0,0.0,0.0,0.0,0.0
12,7.8e-06,0.0,1.38e-05,6e-06,0.0,7.8e-06
13,7.8e-06,0.0,0.0,0.0,0.0,0.0
14,7.8e-06,0.0,1.38e-05,6e-06,0.0,7.8e-06
15,7.8e-06,0.0,0.0,0.0,0.0,0.0
16,7.8e-06,0.0,1.38e-05,6e-06,0.0,7.8e-06
17,7.8e-06,0.0,0.0,0.0,0.0,0.0
18,8.18e-05,0.0,8.18e-05,3.4e-06,0.0,8.18e-05
19,8.18e-05,0.0,0.0,0.0,0.0,0.0
20,8.18e-05,0.0,8.18e-05,3.4e-06,0.0,8.18e-05
21,8.18e-05,0.0,0.0,0.0,0.0,0.0
22,8.18e-05,0.0,8.18e-05,3.4e-06,0.0,8.18e-05
23,8.18e-05,0.0,0.0,0.0,0.0,0.0
24,8.18e-05,0.0,8.18e-05,3.4e-06,0.0,8.18e-05
25,8.18e-05,0.0,0.0,0.0,0.0,0.0
26,8.18e-05,0.0,8.18e-05,3.4e-06,0.0,8.18e-05
27,8.18e-05,0.0,0.0,0.0,0.0,0.0
28,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
29,7.84e-05,0.0,0.0,0.0,0.0,0.0
30,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
31,7.84e-05,0.0,0.0,0.0,0.0,0.0
32,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
33,7.84e-05,0.0,0.0,0.0,0.0,0.0
34,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
35,7.84e-05,0.0,0.0,0.0,0.0,0.0
36,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
37,7.84e-05,0.0,0.0,0.0,0.0,0.0
38,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
39,7.84e-05,0.0,0.0,0.0,0.0,0.0
40,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
41,7.84e-05,0.0,0.0,0.0,0.0,0.0
42,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
43,7.84e-05,0.0,0.0,0.0,0.0,0.0
44,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
45,7.84e-05,0.0,0.0,0.0,0.0,0.0
46,7.84e-05,0.0,8.44e-05,6e-06,0.0,7.84e-05
47,7.84e-05,0.0,0.0,0.0,0.0,0.0
48,8.18e-05,0.0,8.18e-05,3.4e-06,0.0,8.18e-05
49,8.18e-05,0.0,0.0,0.0,0.0,0.0
50,8.18e-05,0.0,8.18e-05,3.4e-06,0.0,8.18e-05
51,8.18e-05,0.0,0.0,0.0,0.0,0.0
52,8.18e-05,0.0,8.18e-05,3.4e-06,0.0,8.18e-05
