switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
1,1,2,800,2,1,3,97116,5543044824,2,5,0,1
6,1,2,800,2,1,1,97115,5543044750,2,5,0,1
5,1,2,800,2,1,5,206593,11792720842,4,5,0,1
1,1,2,800,2,1,3,206593,11792720842,4,5,0,1
6,1,2,800,2,1,1,206592,11792720768,4,5,0,1
5,1,2,800,2,1,5,318026,18153745028,6,5,0,1
1,1,2,800,2,1,3,318026,18153745028,6,5,0,1
6,1,2,800,2,1,1,318025,18153744954,6,5,0,1
5,1,2,800,2,1,5,429608,24523490808,8,5,0,1
1,1,2,800,2,1,3,429608,24523490808,8,5,0,1
6,1,2,800,2,1,1,429607,24523490734,8,5,0,1
5,1,2,800,2,1,5,541785,30927379234,10,5,0,1
1,1,2,800,2,1,3,541785,30927379234,10,5,0,1
6,1,2,800,2,1,1,541784,30927379160,10,5,0,1
5,1,2,800,2,1,5,656672,37486357232,12,5,0,1
1,1,2,800,2,1,3,656672,37486357232,12,5,0,1
6,1,2,800,2,1,1,656671,37486357158,12,5,0,1
5,1,2,800,2,1,5,766995,43784248350,14,5,0,1
1,1,2,800,2,1,3,766995,43784248350,14,5,0,1
6,1,2,800,2,1,1,766994,43784248276,14,5,0,1
5,1,2,800,2,1,5,879290,50194668348,16,5,0,1
1,1,2,800,2,1,3,879290,50194668348,16,5,0,1
6,1,2,800,2,1,1,879289,50194668274,16,5,0,1
5,1,2,800,2,1,5,991249,56586409826,18,5,0,1
1,1,2,800,2,1,3,991249,56586409826,18,5,0,1
6,1,2,800,2,1,1,991248,56586409752,18,5,0,1
5,1,2,800,2,1,5,1094754,62495462604,20,5,0,1
1,1,2,800,2,1,3,1094754,62495462604,20,5,0,1
6,1,2,800,2,1,1,1094753,62495462530,20,5,0,1
5,1,2,800,2,1,5,1206699,68886123350,22,5,0,1
1,1,2,800,2,1,3,1206699,68886123350,22,5,0,1
6,1,2,800,2,1,1,1206698,68886123276,22,5,0,1
5,1,2,800,2,1,5,1308731,74711182014,24,5,0,1
1,1,2,800,2,1,3,1308731,74711182014,24,5,0,1
6,1,2,800,2,1,1,1308730,74711181940,24,5,0,1
5,1,2,800,2,1,5,1381585,78871247610,26,5,0,1
1,1,2,800,2,1,3,1381585,78871247610,26,5,0,1
6,1,2,800,2,1,1,1381584,78871247536,26,5,0,1
5,1,2,800,2,1,5,1460495,83378274950,28,5,0,1
1,1,2,800,2,1,3,1460495,83378274950,28,5,0,1
6,1,2,800,2,1,1,1460494,83378274876,28,5,0,1
5,1,2,800,2,1,5,1562523,89204570030,30,5,0,1
1,1,2,800,2,1,3,1562523,89204570030,30,5,0,1
6,1,2,800,2,1,1,1562522,89204569956,30,5,0,1
5,1,2,800,2,1,5,1674194,95579327188,32,5,0,1
1,1,2,800,2,1,3,1674194,95579327188,32,5,0,1
6,1,2,800,2,1,1,1674193,95579327114,32,5,0,1
5,1,2,800,2,1,5,1787956,102073659736,34,5,0,1
1,1,2,800,2,1,3,1787956,102073659736,34,5,0,1
6,1,2,800,2,1,1,1787955,102073659662,34,5,0,1
