snapshot_count, flow_id, flow["hard_timeout_s"], flow["byte_count"], flow["idle_timeout_s"], flow["packet_count"], flow["duration_sec"], timestamp
1,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,66,5,1,0,2019-09-15 17:41:37.765394
1,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,66,5,1,0,2019-09-15 17:41:37.765400
1,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,1507580,5,22842,3,2019-09-15 17:41:37.765403
1,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,5707049044,5,99958,3,2019-09-15 17:41:37.765405
1,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,5707048970,5,99957,3,2019-09-15 17:41:37.765408
1,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,1507506,5,22841,3,2019-09-15 17:41:37.765410
1,00:00:00:00:00:01-00:00:00:00:00:02-1-0x800,0,1507506,5,22841,3,2019-09-15 17:41:37.765412
1,00:00:00:00:00:02-00:00:00:00:00:04-2-0x800,0,74,5,1,0,2019-09-15 17:41:37.765414
1,00:00:00:00:00:04-00:00:00:00:00:02-1-0x800,0,66,5,1,0,2019-09-15 17:41:37.765416
1,00:00:00:00:00:02-00:00:00:00:00:01-3-0x800,0,5707049044,5,99958,3,2019-09-15 17:41:37.765419
2,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,2166075678,5,44803,3,2019-09-15 17:41:43.786315
2,00:00:00:00:00:04-00:00:00:00:00:02-4-0x800,0,1625910,5,24635,6,2019-09-15 17:41:43.786326
2,00:00:00:00:00:02-00:00:00:00:00:04-1-0x800,0,5924885066,5,104797,6,2019-09-15 17:41:43.786331
2,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,1257968,5,19060,2,2019-09-15 17:41:43.786335
2,00:00:00:00:00:03-00:00:00:00:00:02-5-0x800,0,1903528,5,28824,3,2019-09-15 17:41:43.786339
2,00:00:00:00:00:01-00:00:00:00:00:02-5-0x800,0,3066830,5,46467,9,2019-09-15 17:41:43.786341
2,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,915523758,5,20643,2,2019-09-15 17:41:43.786343
2,00:00:00:00:00:02-00:00:00:00:00:01-2-0x800,0,10888024480,5,192704,9,2019-09-15 17:41:43.786347
2,00:00:00:00:00:02-00:00:00:00:00:03-1-0x800,0,2166075604,5,44802,3,2019-09-15 17:41:43.786350
2,00:00:00:00:00:03-00:00:00:00:00:02-4-0x800,0,1903454,5,28823,3,2019-09-15 17:41:43.786352
2,00:00:00:00:00:02-00:00:00:00:00:03-2-0x800,0,2166075678,5,44803,3,2019-09-15 17:41:43.786355
2,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,1257894,5,19059,2,2019-09-15 17:41:43.786357
2,00:00:00:00:00:02-00:00:00:00:00:01-1-0x800,0,10888024406,5,192703,9,2019-09-15 17:41:43.786359
2,00:00:00:00:00:01-00:00:00:00:00:02-3-0x800,0,3066756,5,46466,9,2019-09-15 17:41:43.786361
