Connecting to host 10.0.0.2, port 5201
[ 22] local 10.0.0.1 port 46110 connected to 10.0.0.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 22]   0.00-1.00   sec  1.61 MBytes  13.5 Mbits/sec    0   89.1 KBytes       
[ 22]   1.00-2.00   sec  1.18 MBytes  9.91 Mbits/sec   23   99.0 KBytes       
[ 22]   2.00-3.01   sec  1.18 MBytes  9.86 Mbits/sec    0    107 KBytes       
[ 22]   3.01-4.00   sec   827 KBytes  6.81 Mbits/sec    0    113 KBytes       
[ 22]   4.00-5.00   sec   700 KBytes  5.73 Mbits/sec    0    122 KBytes       
[ 22]   5.00-6.00   sec   636 KBytes  5.20 Mbits/sec    0    147 KBytes       
[ 22]   6.00-7.00   sec   827 KBytes  6.79 Mbits/sec    0    194 KBytes       
[ 22]   7.00-8.00   sec  1018 KBytes  8.34 Mbits/sec    0    256 KBytes       
[ 22]   8.00-9.00   sec  1.06 MBytes  8.86 Mbits/sec    0    331 KBytes       
[ 22]   9.00-10.00  sec  1.18 MBytes  9.90 Mbits/sec    0    426 KBytes       
[ 22]  10.00-11.00  sec  1.55 MBytes  13.0 Mbits/sec    0    563 KBytes       
[ 22]  11.00-12.00  sec  1.37 MBytes  11.5 Mbits/sec    0    690 KBytes       
[ 22]  12.00-13.00  sec  1.68 MBytes  14.1 Mbits/sec    0    861 KBytes       
[ 22]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.02 MBytes       
[ 22]  14.00-15.00  sec  2.48 MBytes  20.8 Mbits/sec    0   1.24 MBytes       
[ 22]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.48 MBytes       
[ 22]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.66 MBytes       
[ 22]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec   91   1.47 MBytes       
[ 22]  18.00-19.00  sec   105 KBytes   863 Kbits/sec   99   1.21 MBytes       
[ 22]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec   52   1.21 MBytes       
[ 22]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   71   1.21 MBytes       
