Connecting to host 10.0.0.2, port 5202
[ 22] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 22]   0.00-1.89   sec  82.0 KBytes   356 Kbits/sec    1   14.1 KBytes       
[ 22]   1.89-2.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[ 22]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[ 22]   3.00-4.00   sec  5.66 KBytes  46.3 Kbits/sec    1   14.1 KBytes       
[ 22]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[ 22]   5.00-6.00   sec  8.48 KBytes  69.5 Kbits/sec    5   11.3 KBytes       
[ 22]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   11.3 KBytes       
[ 22]   7.00-8.00   sec  7.07 KBytes  57.9 Kbits/sec    2   11.3 KBytes       
[ 22]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   11.3 KBytes       
[ 22]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   11.3 KBytes       
[ 22]  10.00-11.00  sec  5.66 KBytes  46.3 Kbits/sec    3   9.90 KBytes       
[ 22]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   9.90 KBytes       
[ 22]  12.00-13.00  sec  4.24 KBytes  34.7 Kbits/sec    1   9.90 KBytes       
[ 22]  13.00-14.00  sec  4.24 KBytes  34.7 Kbits/sec    3   7.07 KBytes       
[ 22]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[ 22]  15.00-16.00  sec  4.24 KBytes  34.8 Kbits/sec    0   7.07 KBytes       
[ 22]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[ 22]  17.00-18.00  sec  2.83 KBytes  23.2 Kbits/sec    1   4.24 KBytes       
[ 22]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[ 22]  19.00-20.00  sec  2.83 KBytes  23.1 Kbits/sec    1   4.24 KBytes       
[ 22]  20.00-21.00  sec  4.24 KBytes  34.8 Kbits/sec    0   5.66 KBytes       
[ 22]  21.00-22.00  sec  63.6 KBytes   521 Kbits/sec    0   8.48 KBytes       
[ 22]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[ 22]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   12.7 KBytes       
[ 22]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[ 22]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[ 22]  26.00-27.00  sec  63.6 KBytes   522 Kbits/sec    0   29.7 KBytes       
[ 22]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[ 22]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    4   18.4 KBytes       
[ 22]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   18.4 KBytes       
[ 22]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    8   15.6 KBytes       
[ 22]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   15.6 KBytes       
[ 22]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    4   19.8 KBytes       
[ 22]  33.00-34.01  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[ 22]  34.01-35.01  sec  63.6 KBytes   518 Kbits/sec    8   8.48 KBytes       
[ 22]  35.01-36.00  sec  0.00 Bytes  0.00 bits/sec    0   21.2 KBytes       
[ 22]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[ 22]  37.00-38.00  sec  63.6 KBytes   522 Kbits/sec    0   28.3 KBytes       
[ 22]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   29.7 KBytes       
[ 22]  39.00-40.00  sec  63.6 KBytes   521 Kbits/sec    0   31.1 KBytes       
[ 22]  40.00-41.00  sec  63.6 KBytes   521 Kbits/sec    0   39.6 KBytes       
[ 22]  41.00-42.00  sec   127 KBytes  1.04 Mbits/sec    0   56.6 KBytes       
[ 22]  42.00-43.00  sec   127 KBytes  1.04 Mbits/sec    0   74.9 KBytes       
[ 22]  43.00-44.00  sec   318 KBytes  2.61 Mbits/sec    0    113 KBytes       
[ 22]  44.00-45.00  sec   127 KBytes  1.04 Mbits/sec    0    136 KBytes       
[ 22]  45.00-46.00  sec   509 KBytes  4.17 Mbits/sec    0    204 KBytes       
[ 22]  46.00-47.00  sec   764 KBytes  6.25 Mbits/sec    0    300 KBytes       
[ 22]  47.00-48.00  sec   318 KBytes  2.60 Mbits/sec    0    339 KBytes       
[ 22]  48.00-49.00  sec   827 KBytes  6.79 Mbits/sec    0    452 KBytes       
[ 22]  49.00-50.00  sec   891 KBytes  7.30 Mbits/sec    3    566 KBytes       
[ 22]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec   45    465 KBytes       
[ 22]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec  101    402 KBytes       
[ 22]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec   28    397 KBytes       
[ 22]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    8    402 KBytes       
[ 22]  54.00-55.00  sec   636 KBytes  5.22 Mbits/sec   30    272 KBytes       
[ 22]  55.00-56.00  sec   891 KBytes  7.29 Mbits/sec    1    107 KBytes       
[ 22]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    0    281 KBytes       
[ 22]  57.00-58.00  sec   191 KBytes  1.56 Mbits/sec    0    297 KBytes       
[ 22]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0    298 KBytes       
[ 22]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec   62    209 KBytes       
[ 22]  60.00-61.00  sec  63.6 KBytes   521 Kbits/sec    9    209 KBytes       
[ 22]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec   20    209 KBytes       
[ 22]  62.00-63.00  sec   191 KBytes  1.56 Mbits/sec   14    209 KBytes       
[ 22]  63.00-64.00  sec   318 KBytes  2.61 Mbits/sec    3    205 KBytes       
[ 22]  64.00-65.00  sec   509 KBytes  4.17 Mbits/sec    0    150 KBytes       
[ 22]  65.00-66.00  sec   127 KBytes  1.04 Mbits/sec    0    156 KBytes       
[ 22]  66.00-67.00  sec   191 KBytes  1.56 Mbits/sec    0    167 KBytes       
[ 22]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec   21    117 KBytes       
[ 22]  68.00-69.00  sec   127 KBytes  1.04 Mbits/sec    3    117 KBytes       
[ 22]  69.00-70.00  sec   127 KBytes  1.04 Mbits/sec    3    103 KBytes       
[ 22]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0   82.0 KBytes       
[ 22]  71.00-72.00  sec   191 KBytes  1.56 Mbits/sec    0   83.4 KBytes       
[ 22]  72.00-73.00  sec   127 KBytes  1.04 Mbits/sec    0   91.9 KBytes       
[ 22]  73.00-74.00  sec  63.6 KBytes   521 Kbits/sec    0   96.2 KBytes       
[ 22]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec   34   66.5 KBytes       
[ 22]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec    0   66.5 KBytes       
[ 22]  76.00-77.00  sec  63.6 KBytes   522 Kbits/sec   11   66.5 KBytes       
