Connecting to host 10.0.0.2, port 5206
[ 22] local 10.0.0.1 port 46120 connected to 10.0.0.2 port 5206
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 22]   0.00-1.00   sec  87.7 KBytes   718 Kbits/sec    4   2.83 KBytes       
[ 22]   1.00-2.00   sec  2.83 KBytes  23.1 Kbits/sec    0   5.66 KBytes       
[ 22]   2.00-3.00   sec  5.66 KBytes  46.3 Kbits/sec    0   11.3 KBytes       
[ 22]   3.00-4.01   sec  11.3 KBytes  92.3 Kbits/sec    0   22.6 KBytes       
[ 22]   4.01-5.00   sec   161 KBytes  1.33 Mbits/sec    0   36.8 KBytes       
[ 22]   5.00-6.00   sec  70.7 KBytes   577 Kbits/sec    0   38.2 KBytes       
[ 22]   6.00-7.01   sec  63.6 KBytes   520 Kbits/sec    0   41.0 KBytes       
[ 22]   7.01-8.01   sec  63.6 KBytes   519 Kbits/sec    0   52.3 KBytes       
[ 22]   8.01-9.02   sec   191 KBytes  1.54 Mbits/sec    0   77.8 KBytes       
[ 22]   9.02-10.00  sec   255 KBytes  2.12 Mbits/sec    0    106 KBytes       
[ 22]  10.00-11.00  sec  63.6 KBytes   522 Kbits/sec    0    117 KBytes       
[ 22]  11.00-12.02  sec   445 KBytes  3.59 Mbits/sec    0    175 KBytes       
[ 22]  12.02-13.00  sec   445 KBytes  3.71 Mbits/sec    0    238 KBytes       
[ 22]  13.00-14.00  sec   191 KBytes  1.57 Mbits/sec    0    263 KBytes       
[ 22]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0    284 KBytes       
[ 22]  15.00-16.00  sec   573 KBytes  4.68 Mbits/sec    0    356 KBytes       
[ 22]  16.00-17.01  sec   255 KBytes  2.08 Mbits/sec    0    387 KBytes       
[ 22]  17.01-18.00  sec   191 KBytes  1.57 Mbits/sec    0    410 KBytes       
[ 22]  18.00-19.00  sec   700 KBytes  5.74 Mbits/sec    0    502 KBytes       
[ 22]  19.00-20.01  sec   255 KBytes  2.07 Mbits/sec    0    526 KBytes       
[ 22]  20.01-21.00  sec  0.00 Bytes  0.00 bits/sec    0    532 KBytes       
[ 22]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0    535 KBytes       
[ 22]  22.00-23.00  sec  63.6 KBytes   521 Kbits/sec    7    489 KBytes       
[ 22]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    2    426 KBytes       
[ 22]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   23    383 KBytes       
[ 22]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    3    383 KBytes       
[ 22]  26.00-27.00  sec   382 KBytes  3.13 Mbits/sec    8    383 KBytes       
[ 22]  27.00-28.00  sec  63.6 KBytes   521 Kbits/sec    3    383 KBytes       
[ 22]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0    383 KBytes       
[ 22]  29.00-30.00  sec  63.6 KBytes   521 Kbits/sec    8    369 KBytes       
[ 22]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec   10    296 KBytes       
[ 22]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0    267 KBytes       
[ 22]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    267 KBytes       
