Connecting to host 10.0.0.2, port 5209
[ 22] local 10.0.0.1 port 46126 connected to 10.0.0.2 port 5209
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 22]   0.00-1.62   sec  87.7 KBytes   444 Kbits/sec    3   2.83 KBytes       
[ 22]   1.62-2.00   sec  0.00 Bytes  0.00 bits/sec    0   2.83 KBytes       
[ 22]   2.00-3.00   sec  2.83 KBytes  23.2 Kbits/sec    0   4.24 KBytes       
[ 22]   3.00-4.04   sec  4.24 KBytes  33.6 Kbits/sec    0   4.24 KBytes       
[ 22]   4.04-5.00   sec  9.90 KBytes  84.1 Kbits/sec    0   7.07 KBytes       
[ 22]   5.00-6.00   sec  7.07 KBytes  57.9 Kbits/sec    0   7.07 KBytes       
[ 22]   6.00-7.00   sec  7.07 KBytes  57.9 Kbits/sec    0   11.3 KBytes       
[ 22]   7.00-8.00   sec  11.3 KBytes  92.7 Kbits/sec    0   17.0 KBytes       
[ 22]   8.00-9.00   sec  73.5 KBytes   603 Kbits/sec    0   25.5 KBytes       
[ 22]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[ 22]  10.00-11.00  sec   127 KBytes  1.04 Mbits/sec    0   38.2 KBytes       
[ 22]  11.00-12.00  sec  63.6 KBytes   521 Kbits/sec    0   50.9 KBytes       
[ 22]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec    0   58.0 KBytes       
[ 22]  13.00-14.00  sec   191 KBytes  1.56 Mbits/sec    0   86.3 KBytes       
[ 22]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   86.3 KBytes       
[ 22]  15.00-16.00  sec   318 KBytes  2.61 Mbits/sec    0    127 KBytes       
[ 22]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0    127 KBytes       
[ 22]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0    127 KBytes       
[ 22]  18.00-19.00  sec   509 KBytes  4.17 Mbits/sec    0    191 KBytes       
[ 22]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0    191 KBytes       
[ 22]  20.00-21.00  sec   445 KBytes  3.65 Mbits/sec    0    253 KBytes       
[ 22]  21.00-22.00  sec   255 KBytes  2.09 Mbits/sec    0    283 KBytes       
[ 22]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    4    198 KBytes       
[ 22]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    198 KBytes       
[ 22]  24.00-25.00  sec   318 KBytes  2.60 Mbits/sec    0    219 KBytes       
[ 22]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    0    238 KBytes       
