Connecting to host 10.0.0.2, port 5205
[ 24] local 10.0.0.1 port 46118 connected to 10.0.0.2 port 5205
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  82.0 KBytes   671 Kbits/sec    0   14.1 KBytes       
[ 24]   1.00-2.01   sec  14.1 KBytes   115 Kbits/sec    0   28.3 KBytes       
[ 24]   2.01-3.00   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[ 24]   3.00-4.01   sec   208 KBytes  1.69 Mbits/sec    0   42.4 KBytes       
[ 24]   4.01-5.00   sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[ 24]   5.00-6.00   sec  70.7 KBytes   578 Kbits/sec    0   52.3 KBytes       
[ 24]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[ 24]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    3   36.8 KBytes       
[ 24]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec   12   33.9 KBytes       
[ 24]   9.00-10.01  sec  0.00 Bytes  0.00 bits/sec    0   33.9 KBytes       
[ 24]  10.01-11.00  sec  63.6 KBytes   524 Kbits/sec    1   35.4 KBytes       
[ 24]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   35.4 KBytes       
[ 24]  12.00-13.00  sec  63.6 KBytes   521 Kbits/sec    0   43.8 KBytes       
[ 24]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[ 24]  14.00-15.00  sec  63.6 KBytes   521 Kbits/sec    0   49.5 KBytes       
[ 24]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[ 24]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[ 24]  17.00-18.00  sec   191 KBytes  1.56 Mbits/sec    0   69.3 KBytes       
[ 24]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   69.3 KBytes       
[ 24]  19.00-20.00  sec   255 KBytes  2.08 Mbits/sec    0    105 KBytes       
[ 24]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0    105 KBytes       
[ 24]  21.00-22.00  sec   382 KBytes  3.13 Mbits/sec    0    157 KBytes       
[ 24]  22.00-23.00  sec   445 KBytes  3.65 Mbits/sec    0    216 KBytes       
